FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
907,10.0.0.10,10.0.0.12,20,19,1,5,16100.1,3.3654
908,10.0.0.1,10.0.0.19,28,28,0,0,2.17594e+06,0.00652729
909,10.0.0.19,10.0.0.1,14,14,0,0,116405,0.00275712
910,10.0.0.6,10.0.0.19,28,28,0,0,2.17281e+06,0.00597635
911,10.0.0.19,10.0.0.6,14,14,0,0,116718,0.00234277
912,10.0.0.7,10.0.0.14,28,28,0,0,2.1664e+06,0.00874
913,10.0.0.14,10.0.0.7,14,14,0,0,116723,0.00404361
914,10.0.0.13,10.0.0.16,2,0,2,100,0,0
915,10.0.0.1,10.0.0.12,28,28,0,0,2.16291e+06,0.0118396
916,10.0.0.12,10.0.0.1,14,14,0,0,116757,0.00273838
917,10.0.0.4,10.0.0.1,28,28,0,0,2.18005e+06,0.00558971
918,10.0.0.1,10.0.0.4,14,14,0,0,116721,0.0023427
919,10.0.0.13,10.0.0.20,28,28,0,0,2.17666e+06,0.00619955
920,10.0.0.20,10.0.0.13,14,14,0,0,116741,0.00262243
921,10.0.0.2,10.0.0.11,2,1,1,50,8151.45,0.00103384
922,10.0.0.3,10.0.0.19,27,26,1,3.7037,1.96201e+06,0.179542
923,10.0.0.19,10.0.0.3,20,19,1,5,23248.6,0.21941
924,10.0.0.5,10.0.0.2,28,28,0,0,2.17895e+06,0.00604849
925,10.0.0.2,10.0.0.5,14,14,0,0,116737,0.0025504
926,10.0.0.1,10.0.0.9,27,27,0,0,2.06433e+06,0.0104622
927,10.0.0.9,10.0.0.1,14,14,0,0,120119,0.00598661
928,10.0.0.10,10.0.0.16,28,28,0,0,2.17651e+06,0.00562958
929,10.0.0.16,10.0.0.10,14,14,0,0,116718,0.00234444
930,10.0.0.6,10.0.0.3,2,1,1,50,7366.3,0.00647342
931,10.0.0.17,10.0.0.11,28,28,0,0,2.18225e+06,0.00553202
932,10.0.0.11,10.0.0.17,14,14,0,0,116742,0.002343
933,10.0.0.14,10.0.0.4,28,28,0,0,2.1798e+06,0.00553171
934,10.0.0.4,10.0.0.14,14,14,0,0,116739,0.00234268
935,10.0.0.13,10.0.0.8,26,26,0,0,1.53839e+06,0.408341
936,10.0.0.8,10.0.0.13,15,15,0,0,92454,0.0162051
937,10.0.0.1,10.0.0.3,22,22,0,0,1.57503e+06,0.012363
938,10.0.0.3,10.0.0.1,11,11,0,0,96279,0.0122412
939,10.0.0.6,10.0.0.5,28,28,0,0,2.18117e+06,0.00562899
940,10.0.0.5,10.0.0.6,14,14,0,0,116721,0.00274837
941,10.0.0.1,10.0.0.4,28,28,0,0,2.17727e+06,0.00561572
942,10.0.0.4,10.0.0.1,14,14,0,0,116732,0.00234281
