time,nodeId,x,y,z
2.4,13,-116.07,20.455,30
2.4,14,2.724,-98.339,30
2.6,0,2.833,22.696,30
2.6,1,-14.138,22.696,30
2.6,2,2.833,5.726,30
2.6,3,-31.108,22.696,30
2.6,4,2.833,-11.245,30
2.6,5,-48.079,22.696,30
2.6,6,2.833,-28.215,30
2.6,7,-65.05,22.696,30
2.6,8,2.833,-45.186,30
2.6,9,-82.02,22.696,30
2.6,10,2.833,-62.156,30
2.6,11,-98.991,22.696,30
2.6,12,2.833,-79.127,30
2.6,13,-115.961,22.696,30
2.6,14,2.833,-96.098,30
2.8,0,2.95,24.912,30
2.8,1,-14.02,24.912,30
2.8,2,2.95,7.941,30
2.8,3,-30.991,24.912,30
2.8,4,2.95,-9.029,30
2.8,5,-47.962,24.912,30
2.8,6,2.95,-26,30
2.8,7,-64.932,24.912,30
2.8,8,2.95,-42.97,30
2.8,9,-81.903,24.912,30
2.8,10,2.95,-59.941,30
2.8,11,-98.873,24.912,30
2.8,12,2.95,-76.912,30
2.8,13,-115.844,24.912,30
2.8,14,2.95,-93.882,30
3,0,3.076,27.09,30
3,1,-13.894,27.09,30
3,2,3.076,10.119,30
3,3,-30.865,27.09,30
3,4,3.076,-6.851,30
3,5,-47.836,27.09,30
3,6,3.076,-23.822,30
3,7,-64.806,27.09,30
3,8,3.076,-40.792,30
3,9,-81.777,27.09,30
3,10,3.076,-57.763,30
3,11,-98.747,27.09,30
3,12,3.076,-74.733,30
3,13,-115.718,27.09,30
3,14,3.076,-91.704,30
3.2,0,3.21,29.223,30
3.2,1,-13.76,29.223,30
3.2,2,3.21,12.252,30
3.2,3,-30.731,29.223,30
3.2,4,3.21,-4.718,30
3.2,5,-47.701,29.223,30
3.2,6,3.21,-21.689,30
3.2,7,-64.672,29.223,30
3.2,8,3.21,-38.659,30
3.2,9,-81.642,29.223,30
3.2,10,3.21,-55.63,30
3.2,11,-98.613,29.223,30
3.2,12,3.21,-72.601,30
3.2,13,-115.583,29.223,30
3.2,14,3.21,-89.571,30
3.4,0,3.352,31.304,30
3.4,1,-13.618,31.304,30
3.4,2,3.352,14.334,30
3.4,3,-30.589,31.304,30
3.4,4,3.352,-2.637,30
3.4,5,-47.559,31.304,30
3.4,6,3.352,-19.608,30
3.4,7,-64.53,31.304,30
3.4,8,3.352,-36.578,30
3.4,9,-81.501,31.304,30
3.4,10,3.352,-53.549,30
3.4,11,-98.471,31.304,30
3.4,12,3.352,-70.519,30
3.4,13,-115.442,31.304,30
3.4,14,3.352,-87.49,30
3.6,0,3.501,33.33,30
3.6,1,-13.47,33.33,30
3.6,2,3.501,16.36,30
3.6,3,-30.44,33.33,30
3.6,4,3.501,-0.611,30
3.6,5,-47.411,33.33,30
3.6,6,3.501,-17.581,30
3.6,7,-64.381,33.33,30
3.6,8,3.501,-34.552,30
3.6,9,-81.352,33.33,30
3.6,10,3.501,-51.522,30
3.6,11,-98.323,33.33,30
3.6,12,3.501,-68.493,30
3.6,13,-115.293,33.33,30
3.6,14,3.501,-85.464,30
3.8,0,3.655,35.3,30
