# 实时计算弹簧避障航线 (由前端地图驱动)
# Format: time, nodeId, x, y, z
93.954,14,-9.000,1.046,0.050
94.079,9,-1.400,0.471,0.020
94.090,5,-9.000,0.073,0.020
94.109,8,-9.000,0.075,0.010
94.186,1,-9.000,0.024,-0.000
94.605,7,-9.000,0.123,0.020
95.075,2,-9.000,0.074,0.020
95.085,13,-9.000,1.058,0.040
95.248,4,-9.000,0.049,0.020
95.430,11,-9.000,1.040,0.040
95.780,6,-9.000,0.093,0.010
96.110,0,-9.000,0.012,0.020
96.124,12,-9.000,0.908,0.030
96.597,9,-0.450,0.415,0.020
96.723,10,-9.000,0.665,0.020
96.954,14,-9.000,1.046,0.040
97.090,5,-9.000,0.073,0.030
97.109,8,-9.000,0.078,0.010
97.186,1,-9.000,0.024,-0.000
97.605,7,-9.000,0.119,0.020
98.076,2,-9.000,0.074,0.020
98.085,13,-9.000,1.059,0.050
98.248,4,-9.000,0.049,0.020
98.430,11,-9.000,1.037,0.040
98.782,6,-9.000,0.093,0.020
99.110,0,-9.000,0.012,0.030
99.124,12,-9.000,0.917,0.030
99.597,9,0.500,0.364,0.030
99.722,10,-9.000,0.694,0.020
99.955,14,-9.000,1.046,0.040
100.090,5,-9.000,0.073,0.030
100.109,8,-9.000,0.081,0.020
100.186,1,-9.000,0.025,0.010
100.605,7,-9.000,0.115,0.020
101.076,2,-9.000,0.074,0.020
101.085,13,-9.000,1.061,0.050
101.248,4,-9.000,0.049,0.020
101.430,11,-9.000,1.035,0.040
101.782,6,-9.000,0.093,0.020
102.110,0,-9.000,0.012,0.010
102.124,12,-9.000,0.926,0.030
102.597,9,1.450,0.321,0.010
102.722,10,-9.000,0.723,0.010
102.955,14,-9.000,1.046,0.040
103.090,5,-9.000,0.073,0.030
103.109,8,-9.000,0.084,0.010
103.186,1,-9.000,0.025,-0.000
103.605,7,-9.000,0.112,0.020
104.076,2,-9.000,0.074,0.010
104.085,13,-9.000,1.062,0.050
104.248,4,-9.000,0.049,0.010
104.430,11,-9.000,1.032,0.030
104.782,6,-9.000,0.093,0.010
105.110,0,-9.000,0.012,0.010
105.124,12,-9.000,0.934,0.010
105.597,9,2.400,0.282,0.020
105.722,10,-9.000,0.751,0.030
105.955,14,-9.000,1.046,0.040
106.090,5,-9.000,0.073,0.020
106.109,8,-9.000,0.086,0.020
106.186,1,-9.000,0.025,-0.000
106.282,6,-9.000,0.094,0.020
106.547,13,-9.000,1.063,0.050
106.605,7,-9.000,0.109,0.020
106.610,0,-9.000,0.012,0.010
106.954,11,-9.000,1.030,0.040
107.035,2,-9.000,0.074,0.030
107.116,12,-9.000,0.943,0.030
107.129,9,3.350,0.249,0.020
107.222,10,-9.000,0.778,0.030
107.248,4,-9.000,0.049,0.010
107.590,5,-9.000,0.073,0.030
107.609,8,-9.000,0.088,0.020
107.686,1,-9.000,0.025,0.010
107.782,6,-9.000,0.094,0.020
107.825,14,-9.000,1.047,0.040
108.047,13,-9.000,1.064,0.050
108.105,7,-9.000,0.107,0.020
108.110,0,-9.000,0.012,0.020
108.454,11,-9.000,1.028,0.030
108.535,2,-9.000,0.074,0.020
108.616,12,-9.000,0.951,0.030
108.629,9,4.300,0.221,0.030
108.722,10,-9.000,0.803,0.040
108.748,4,-9.000,0.049,0.020
109.090,5,-9.000,0.073,0.030
109.109,8,-9.000,0.089,0.020
109.186,1,-9.000,0.025,-0.000
109.282,6,-9.000,0.094,0.020
109.325,14,-9.000,1.047,0.040
109.547,13,-9.000,1.065,0.050
109.605,7,-9.000,0.105,0.030
109.610,0,-9.000,0.012,0.010
109.954,11,-9.000,1.025,0.030
110.035,2,-9.000,0.074,0.020
110.116,12,-9.000,0.958,0.020
110.129,9,5.250,0.198,0.020
110.222,10,-9.000,0.828,0.030
110.248,4,-9.000,0.049,0.020
110.590,5,-9.000,0.073,0.030
110.609,8,-9.000,0.091,0.020
110.686,1,-9.000,0.026,0.010
110.782,6,-9.000,0.094,0.020
110.825,14,-9.000,1.047,0.040
111.047,13,-9.000,1.066,0.050
111.105,7,-9.000,0.103,0.030
111.110,0,-9.000,0.011,0.000
111.454,11,-9.000,1.023,0.020
111.535,2,-9.000,0.074,0.020
111.616,12,-9.000,0.965,0.020
111.629,9,6.200,0.179,0.010
111.722,10,-9.000,0.851,0.020
111.748,4,-9.000,0.049,0.020
