# ==========================================
# 智能动态规划轨迹 v2.0 | v_formation
# 起点: 0,0,30 -> 终点: 500,500,30
# dt=0.1s  drones=15
# Format: time(s),nodeId,x(m),y(m),z(m)
# ==========================================
25.500,3,122.432,161.522,30.000
25.500,4,155.351,126.582,30.000
25.500,5,105.461,161.522,30.000
25.500,6,156.367,110.599,30.000
25.500,7,88.491,161.522,30.000
25.500,8,156.373,93.640,30.000
25.500,9,71.520,161.522,30.000
25.500,10,156.373,76.669,30.000
25.500,11,54.550,161.522,30.000
25.500,12,156.373,59.698,30.000
25.500,13,37.579,161.522,30.000
25.500,14,156.373,42.728,30.000
25.600,0,153.776,161.471,30.000
25.600,1,139.595,162.092,30.000
25.600,2,153.994,144.225,30.000
25.600,3,122.689,162.105,30.000
25.600,4,155.536,127.108,30.000
25.600,5,105.718,162.105,30.000
25.600,6,156.621,111.177,30.000
25.600,7,88.747,162.105,30.000
25.600,8,156.630,94.223,30.000
25.600,9,71.777,162.105,30.000
25.600,10,156.630,77.252,30.000
25.600,11,54.806,162.105,30.000
25.600,12,156.630,60.281,30.000
25.600,13,37.836,162.105,30.000
25.600,14,156.630,43.311,30.000
25.700,0,153.974,162.045,30.000
25.700,1,139.834,162.672,30.000
25.700,2,154.185,144.793,30.000
25.700,3,122.934,162.687,30.000
25.700,4,155.709,127.634,30.000
25.700,5,105.963,162.687,30.000
25.700,6,156.863,111.753,30.000
25.700,7,88.993,162.687,30.000
25.700,8,156.875,94.804,30.000
25.700,9,72.022,162.687,30.000
25.700,10,156.875,77.834,30.000
25.700,11,55.051,162.687,30.000
25.700,12,156.875,60.863,30.000
25.700,13,38.081,162.687,30.000
25.700,14,156.875,43.893,30.000
25.800,0,154.164,162.619,30.000
25.800,1,140.062,163.252,30.000
25.800,2,154.368,145.363,30.000
25.800,3,123.167,163.268,30.000
25.800,4,155.870,128.162,30.000
25.800,5,106.197,163.268,30.000
25.800,6,157.092,112.327,30.000
25.800,7,89.226,163.268,30.000
25.800,8,157.108,95.385,30.000
25.800,9,72.256,163.268,30.000
25.800,10,157.108,78.415,30.000
25.800,11,55.285,163.268,30.000
25.800,12,157.108,61.444,30.000
25.800,13,38.315,163.268,30.000
25.800,14,157.108,44.474,30.000
25.900,0,154.346,163.193,30.000
25.900,1,140.279,163.830,30.000
25.900,2,154.543,145.933,30.000
25.900,3,123.390,163.848,30.000
25.900,4,156.021,128.691,30.000
25.900,5,106.419,163.848,30.000
25.900,6,157.310,112.898,30.000
25.900,7,89.449,163.848,30.000
25.900,8,157.331,95.965,30.000
25.900,9,72.478,163.848,30.000
25.900,10,157.331,78.995,30.000
25.900,11,55.508,163.848,30.000
25.900,12,157.331,62.024,30.000
25.900,13,38.537,163.848,30.000
25.900,14,157.331,45.054,30.000
26.000,0,154.521,163.768,30.000
26.000,1,140.485,164.408,30.000
26.000,2,154.710,146.504,30.000
26.000,3,123.602,164.427,30.000
26.000,4,156.161,129.222,30.000
26.000,5,106.631,164.427,30.000
26.000,6,157.515,113.466,30.000
26.000,7,89.661,164.427,30.000
26.000,8,157.543,96.545,30.000
26.000,9,72.690,164.427,30.000
26.000,10,157.543,79.574,30.000
26.000,11,55.720,164.427,30.000
26.000,12,157.543,62.603,30.000
26.000,13,38.749,164.427,30.000
26.000,14,157.543,45.633,30.000
26.100,0,154.689,164.343,30.000
26.100,1,140.680,164.985,30.000
26.100,2,154.869,147.075,30.000
26.100,3,123.803,165.005,30.000
26.100,4,156.292,129.755,30.000
26.100,5,106.833,165.005,30.000
26.100,6,157.708,114.032,30.000
26.100,7,89.862,165.005,30.000
26.100,8,157.744,97.123,30.000
26.100,9,72.892,165.005,30.000
26.100,10,157.744,80.152,30.000
26.100,11,55.921,165.005,30.000
26.100,12,157.744,63.182,30.000
26.100,13,38.950,165.005,30.000
26.100,14,157.744,46.211,30.000
26.200,0,154.850,164.918,30.000
26.200,1,140.865,165.561,30.000
26.200,2,155.022,147.648,30.000
26.200,3,123.994,165.583,30.000
26.200,4,156.414,130.291,30.000
26.200,5,107.024,165.583,30.000
26.200,6,157.890,114.595,30.000
26.200,7,90.053,165.583,30.000
26.200,8,157.936,97.701,30.000
26.200,9,73.083,165.583,30.000
26.200,10,157.936,80.730,30.000
26.200,11,56.112,165.583,30.000
26.200,12,157.936,63.760,30.000
26.200,13,39.142,165.583,30.000
26.200,14,157.936,46.789,30.000
26.300,0,155.005,165.493,30.000
26.300,1,141.039,166.137,30.000
26.300,2,155.167,148.223,30.000
26.300,3,124.176,166.161,30.000
26.300,4,156.527,130.830,30.000
26.300,5,107.205,166.161,30.000
26.300,6,158.060,115.155,30.000
26.300,7,90.235,166.161,30.000
26.300,8,158.117,98.278,30.000
26.300,9,73.264,166.161,30.000
26.300,10,158.117,81.308,30.000
26.300,11,56.294,166.161,30.000
26.300,12,158.117,64.337,30.000
26.300,13,39.323,166.161,30.000
26.300,14,158.117,47.367,30.000
26.400,0,155.153,166.070,30.000
26.400,1,141.205,166.713,30.000
26.400,2,155.305,148.799,30.000
26.400,3,124.348,166.738,30.000
26.400,4,156.632,131.372,30.000
26.400,5,107.377,166.738,30.000
26.400,6,158.219,115.712,30.000
26.400,7,90.407,166.738,30.000
26.400,8,158.289,98.856,30.000
26.400,9,73.436,166.738,30.000
26.400,10,158.289,81.885,30.000
26.400,11,56.465,166.738,30.000
26.400,12,158.289,64.915,30.000
26.400,13,39.495,166.738,30.000
26.400,14,158.289,47.944,30.000
26.500,0,155.294,166.646,30.000
26.500,1,141.361,167.288,30.000
26.500,2,155.437,149.376,30.000
26.500,3,124.510,167.315,30.000
26.500,4,156.729,131.918,30.000
26.500,5,107.540,167.315,30.000
26.500,6,158.367,116.267,30.000
26.500,7,90.569,167.315,30.000
26.500,8,158.452,99.433,30.000
26.500,9,73.599,167.315,30.000
26.500,10,158.452,82.462,30.000
26.500,11,56.628,167.315,30.000
26.500,12,158.452,65.491,30.000
26.500,13,39.658,167.315,30.000
26.500,14,158.452,48.521,30.000
26.600,0,155.430,167.224,30.000
26.600,1,141.508,167.863,30.000
26.600,2,155.563,149.956,30.000
26.600,3,124.664,167.892,30.000
26.600,4,156.820,132.467,30.000
26.600,5,107.694,167.892,30.000
26.600,6,158.504,116.820,30.000
26.600,7,90.723,167.892,30.000
26.600,8,158.605,100.009,30.000
26.600,9,73.753,167.892,30.000
26.600,10,158.605,83.039,30.000
26.600,11,56.782,167.892,30.000
26.600,12,158.605,66.068,30.000
26.600,13,39.812,167.892,30.000
26.600,14,158.605,49.098,30.000
26.700,0,155.560,167.802,30.000
26.700,1,141.647,168.438,30.000
26.700,2,155.683,150.538,30.000
26.700,3,124.810,168.468,30.000
26.700,4,156.905,133.021,30.000
26.700,5,107.839,168.468,30.000
26.700,6,158.630,117.370,30.000
26.700,7,90.869,168.468,30.000
26.700,8,158.751,100.586,30.000
26.700,9,73.898,168.468,30.000
26.700,10,158.751,83.616,30.000
26.700,11,56.928,168.468,30.000
26.700,12,158.751,66.645,30.000
26.700,13,39.957,168.468,30.000
26.700,14,158.751,49.674,30.000
26.800,0,155.684,168.381,30.000
26.800,1,141.777,169.013,30.000
26.800,2,155.798,151.123,30.000
26.800,3,124.947,169.045,30.000
26.800,4,156.984,133.579,30.000
26.800,5,107.977,169.045,30.000
26.800,6,158.747,117.918,30.000
26.800,7,91.006,169.045,30.000
26.800,8,158.888,101.163,30.000
26.800,9,74.035,169.045,30.000
26.800,10,158.888,84.192,30.000
26.800,11,57.065,169.045,30.000
26.800,12,158.888,67.222,30.000
26.800,13,40.094,169.045,30.000
26.800,14,158.888,50.251,30.000
26.900,0,155.802,168.960,30.000
26.900,1,141.900,169.589,30.000
26.900,2,155.908,151.709,30.000
26.900,3,125.076,169.622,30.000
26.900,4,157.058,134.141,30.000
26.900,5,108.106,169.622,30.000
26.900,6,158.853,118.464,30.000
26.900,7,91.136,169.622,30.000
26.900,8,159.018,101.740,30.000
26.900,9,74.165,169.622,30.000
26.900,10,159.018,84.769,30.000
26.900,11,57.195,169.622,30.000
26.900,12,159.018,67.799,30.000
26.900,13,40.224,169.622,30.000
26.900,14,159.018,50.828,30.000
27.000,0,155.915,169.540,30.000
27.000,1,142.015,170.164,30.000
27.000,2,156.013,152.297,30.000
27.000,3,125.199,170.199,30.000
27.000,4,157.127,134.707,30.000
27.000,5,108.228,170.199,30.000
27.000,6,158.950,119.008,30.000
27.000,7,91.258,170.199,30.000
27.000,8,159.140,102.317,30.000
27.000,9,74.287,170.199,30.000
27.000,10,159.140,85.347,30.000
27.000,11,57.317,170.199,30.000
27.000,12,159.140,68.376,30.000
27.000,13,40.346,170.199,30.000
27.000,14,159.140,51.406,30.000
27.100,0,156.024,170.121,30.000
27.100,1,142.124,170.740,30.000
27.100,2,156.113,152.887,30.000
27.100,3,125.314,170.777,30.000
27.100,4,157.192,135.276,30.000
27.100,5,108.344,170.777,30.000
27.100,6,159.037,119.551,30.000
27.100,7,91.373,170.777,30.000
27.100,8,159.255,102.894,30.000
27.100,9,74.403,170.777,30.000
27.100,10,159.255,85.924,30.000
27.100,11,57.432,170.777,30.000
27.100,12,159.255,68.954,30.000
27.100,13,40.461,170.777,30.000
27.100,14,159.255,51.983,30.000
27.200,0,156.127,170.703,30.000
27.200,1,142.226,171.316,30.000
27.200,2,156.208,153.479,30.000
27.200,3,125.422,171.355,30.000
27.200,4,157.254,135.849,30.000
27.200,5,108.452,171.355,30.000
27.200,6,159.116,120.091,30.000
27.200,7,91.482,171.355,30.000
27.200,8,159.363,103.472,30.000
27.200,9,74.511,171.355,30.000
27.200,10,159.364,86.502,30.000
27.200,11,57.540,171.355,30.000
27.200,12,159.364,69.532,30.000
27.200,13,40.570,171.355,30.000
27.200,14,159.364,52.561,30.000
27.300,0,156.225,171.285,30.000
27.300,1,142.321,171.893,30.000
27.300,2,156.300,154.072,30.000
27.300,3,125.524,171.934,30.000
27.300,4,157.311,136.425,30.000
27.300,5,108.554,171.934,30.000
27.300,6,159.186,120.631,30.000
27.300,7,91.584,171.934,30.000
27.300,8,159.465,104.050,30.000
27.300,9,74.613,171.934,30.000
27.300,10,159.466,87.081,30.000
27.300,11,57.643,171.934,30.000
27.300,12,159.466,70.110,30.000
27.300,13,40.672,171.934,30.000
27.300,14,159.466,53.140,30.000
27.400,0,156.319,171.869,30.000
27.400,1,142.411,172.471,30.000
27.400,2,156.387,154.667,30.000
27.400,3,125.620,172.513,30.000
27.400,4,157.365,137.005,30.000
27.400,5,108.650,172.513,30.000
27.400,6,159.248,121.169,30.000
27.400,7,91.680,172.513,30.000
27.400,8,159.561,104.629,30.000
27.400,9,74.709,172.513,30.000
27.400,10,159.562,87.660,30.000
27.400,11,57.739,172.513,30.000
27.400,12,159.562,70.690,30.000
27.400,13,40.768,172.513,30.000
27.400,14,159.562,53.719,30.000
27.500,0,156.409,172.453,30.000
27.500,1,142.495,173.049,30.000
27.500,2,156.471,155.263,30.000
27.500,3,125.711,173.093,30.000
27.500,4,157.415,137.586,30.000
27.500,5,108.741,173.093,30.000
27.500,6,159.302,121.706,30.000
27.500,7,91.770,173.093,30.000
27.500,8,159.652,105.208,30.000
27.500,9,74.800,173.093,30.000
27.500,10,159.653,88.240,30.000
27.500,11,57.829,173.093,30.000
27.500,12,159.653,71.269,30.000
27.500,13,40.859,173.093,30.000
27.500,14,159.653,54.299,30.000
27.600,0,156.494,173.038,30.000
27.600,1,142.574,173.628,30.000
27.600,2,156.551,155.861,30.000
27.600,3,125.796,173.673,30.000
27.600,4,157.463,138.171,30.000
27.600,5,108.826,173.673,30.000
27.600,6,159.348,122.243,30.000
27.600,7,91.855,173.673,30.000
27.600,8,159.737,105.788,30.000
27.600,9,74.885,173.673,30.000
27.600,10,159.738,88.821,30.000
27.600,11,57.914,173.673,30.000
27.600,12,159.738,71.850,30.000
27.600,13,40.944,173.673,30.000
27.600,14,159.738,54.879,30.000
27.700,0,156.575,173.624,30.000
27.700,1,142.648,174.208,30.000
27.700,2,156.627,156.459,30.000
27.700,3,125.875,174.254,30.000
27.700,4,157.507,138.757,30.000
27.700,5,108.906,174.255,30.000
27.700,6,159.387,122.779,30.000
27.700,7,91.935,174.255,30.000
27.700,8,159.816,106.369,30.000
27.700,9,74.965,174.255,30.000
27.700,10,159.818,89.402,30.000
27.700,11,57.994,174.255,30.000
27.700,12,159.818,72.431,30.000
27.700,13,41.024,174.255,30.000
27.700,14,159.818,55.461,30.000
27.800,0,156.652,174.210,30.000
27.800,1,142.717,174.789,30.000
27.800,2,156.700,157.059,30.000
27.800,3,125.951,174.837,30.000
27.800,4,157.548,139.346,30.000
27.800,5,108.981,174.837,30.000
27.800,6,159.419,123.315,30.000
27.800,7,92.011,174.837,30.000
27.800,8,159.891,106.950,30.000
27.800,9,75.040,174.837,30.000
27.800,10,159.893,89.984,30.000
27.800,11,58.070,174.837,30.000
27.800,12,159.893,73.013,30.000
27.800,13,41.099,174.837,30.000
27.800,14,159.893,56.043,30.000
27.900,0,156.726,174.797,30.000
27.900,1,142.782,175.370,30.000
27.900,2,156.770,157.659,30.000
27.900,3,126.021,175.419,30.000
27.900,4,157.586,139.936,30.000
27.900,5,109.052,175.420,30.000
27.900,6,159.445,123.850,30.000
27.900,7,92.082,175.420,30.000
27.900,8,159.962,107.532,30.000
27.900,9,75.111,175.420,30.000
27.900,10,159.964,90.567,30.000
27.900,11,58.140,175.420,30.000
27.900,12,159.964,73.596,30.000
27.900,13,41.170,175.420,30.000
27.900,14,159.964,56.626,30.000
28.000,0,156.796,175.385,30.000
28.000,1,142.844,175.953,30.000
28.000,2,156.837,158.260,30.000
28.000,3,126.088,176.003,30.000
28.000,4,157.621,140.528,30.000
28.000,5,109.119,176.004,30.000
28.000,6,159.465,124.386,30.000
28.000,7,92.148,176.004,30.000
28.000,8,160.028,108.114,30.000
28.000,9,75.178,176.004,30.000
28.000,10,160.030,91.151,30.000
28.000,11,58.207,176.004,30.000
28.000,12,160.030,74.180,30.000
28.000,13,41.237,176.004,30.000
28.000,14,160.030,57.210,30.000
28.100,0,156.863,175.974,30.000
28.100,1,142.901,176.536,30.000
28.100,2,156.901,158.862,30.000
28.100,3,126.151,176.588,30.000
28.100,4,157.653,141.122,30.000
28.100,5,109.182,176.589,30.000
28.100,6,159.478,124.923,30.000
28.100,7,92.211,176.589,30.000
28.100,8,160.090,108.697,30.000
28.100,9,75.240,176.589,30.000
28.100,10,160.093,91.736,30.000
28.100,11,58.270,176.589,30.000
28.100,12,160.093,74.765,30.000
28.100,13,41.299,176.589,30.000
28.100,14,160.093,57.795,30.000
28.200,0,156.926,176.563,30.000
28.200,1,142.955,177.121,30.000
28.200,2,156.961,159.464,30.000
28.200,3,126.209,177.174,30.000
28.200,4,157.683,141.717,30.000
28.200,5,109.241,177.174,30.000
28.200,6,159.487,125.460,30.000
28.200,7,92.270,177.174,30.000
28.200,8,160.148,109.281,30.000
28.200,9,75.300,177.174,30.000
28.200,10,160.152,92.321,30.000
28.200,11,58.329,177.174,30.000
28.200,12,160.152,75.351,30.000
28.200,13,41.358,177.174,30.000
28.200,14,160.152,58.380,30.000
28.300,0,156.986,177.153,30.000
28.300,1,143.006,177.706,30.000
28.300,2,157.019,160.067,30.000
28.300,3,126.265,177.760,30.000
28.300,4,157.709,142.314,30.000
28.300,5,109.296,177.761,30.000
28.300,6,159.490,125.998,30.000
28.300,7,92.326,177.761,30.000
28.300,8,160.203,109.866,30.000
28.300,9,75.355,177.761,30.000
28.300,10,160.208,92.908,30.000
28.300,11,58.385,177.761,30.000
28.300,12,160.208,75.938,30.000
28.300,13,41.414,177.761,30.000
28.300,14,160.208,58.967,30.000
28.400,0,157.043,177.744,30.000
28.400,1,143.054,178.293,30.000
28.400,2,157.074,160.670,30.000
28.400,3,126.317,178.348,30.000
28.400,4,157.733,142.912,30.000
28.400,5,109.349,178.349,30.000
28.400,6,159.489,126.537,30.000
28.400,7,92.378,178.349,30.000
28.400,8,160.254,110.451,30.000
28.400,9,75.408,178.349,30.000
28.400,10,160.261,93.496,30.000
28.400,11,58.437,178.349,30.000
28.400,12,160.261,76.525,30.000
28.400,13,41.467,178.349,30.000
28.400,14,160.261,59.555,30.000
28.500,0,157.097,178.335,30.000
28.500,1,143.099,178.881,30.000
28.500,2,157.127,161.273,30.000
28.500,3,126.367,178.937,30.000
28.500,4,157.754,143.512,30.000
28.500,5,109.398,178.937,30.000
28.500,6,159.483,127.077,30.000
28.500,7,92.428,178.937,30.000
28.500,8,160.302,111.036,30.000
28.500,9,75.457,178.937,30.000
28.500,10,160.310,94.084,30.000
28.500,11,58.487,178.937,30.000
28.500,12,160.310,77.114,30.000
28.500,13,41.516,178.937,30.000
28.500,14,160.310,60.143,30.000
28.600,0,157.148,178.927,30.000
28.600,1,143.141,179.469,30.000
28.600,2,157.177,161.877,30.000
28.600,3,126.414,179.526,30.000
28.600,4,157.772,144.112,30.000
28.600,5,109.445,179.527,30.000
28.600,6,159.474,127.618,30.000
28.600,7,92.475,179.527,30.000
28.600,8,160.347,111.622,30.000
28.600,9,75.504,179.527,30.000
28.600,10,160.357,94.674,30.000
28.600,11,58.534,179.527,30.000
28.600,12,160.357,77.703,30.000
28.600,13,41.563,179.527,30.000
28.600,14,160.357,60.733,30.000
28.700,0,157.198,179.524,30.000
28.700,1,143.182,180.064,30.000
28.700,2,157.225,162.485,30.000
28.700,3,126.458,180.121,30.000
28.700,4,157.789,144.719,30.000
28.700,5,109.490,180.122,30.000
28.700,6,159.461,128.166,30.000
28.700,7,92.520,180.122,30.000
28.700,8,160.390,112.213,30.000
28.700,9,75.549,180.122,30.000
28.700,10,160.402,95.269,30.000
28.700,11,58.579,180.122,30.000
28.700,12,160.402,78.299,30.000
28.700,13,41.608,180.122,30.000
28.700,14,160.402,61.328,30.000
28.800,0,157.248,180.131,30.000
28.800,1,143.226,180.672,30.000
28.800,2,157.274,163.103,30.000
28.800,3,126.505,180.730,30.000
28.800,4,157.806,145.338,30.000
28.800,5,109.537,180.731,30.000
28.800,6,159.448,128.727,30.000
28.800,7,92.567,180.731,30.000
28.800,8,160.434,112.815,30.000
28.800,9,75.596,180.731,30.000
28.800,10,160.449,95.878,30.000
28.800,11,58.625,180.731,30.000
28.800,12,160.449,78.908,30.000
28.800,13,41.655,180.731,30.000
28.800,14,160.449,61.937,30.000
28.900,0,157.304,180.755,30.000
28.900,1,143.277,181.300,30.000
28.900,2,157.329,163.738,30.000
28.900,3,126.560,181.359,30.000
28.900,4,157.831,145.993,30.000
28.900,5,109.592,181.360,30.000
28.900,6,159.436,129.330,30.000
28.900,7,92.621,181.360,30.000
28.900,8,160.484,113.436,30.000
28.900,9,75.651,181.360,30.000
28.900,10,160.504,96.507,30.000
28.900,11,58.680,181.360,30.000
28.900,12,160.504,79.536,30.000
28.900,13,41.710,181.360,30.000
28.900,14,160.504,62.566,30.000
29.000,0,157.375,181.415,30.000
29.000,1,143.342,181.951,30.000
29.000,2,157.400,164.408,30.000
29.000,3,126.629,182.011,30.000
29.000,4,157.869,146.681,30.000
29.000,5,109.661,182.012,30.000
29.000,6,159.431,129.971,30.000
29.000,7,92.691,182.012,30.000
29.000,8,160.546,114.078,30.000
29.000,9,75.720,182.012,30.000
29.000,10,160.573,97.159,30.000
29.000,11,58.750,182.012,30.000
29.000,12,160.573,80.189,30.000
29.000,13,41.779,182.012,30.000
29.000,14,160.573,63.218,30.000
29.100,0,157.465,182.109,30.000
29.100,1,143.429,182.629,30.000
29.100,2,157.488,165.110,30.000
29.100,3,126.719,182.690,30.000
29.100,4,157.921,147.401,30.000
29.100,5,109.751,182.691,30.000
29.100,6,159.440,130.650,30.000
29.100,7,92.781,182.691,30.000
29.100,8,160.626,114.741,30.000
29.100,9,75.810,182.691,30.000
29.100,10,160.663,97.838,30.000
29.100,11,58.840,182.691,30.000
29.100,12,160.663,80.867,30.000
29.100,13,41.869,182.691,30.000
29.100,14,160.663,63.897,30.000
29.200,0,157.573,182.833,30.000
29.200,1,143.536,183.358,30.000
29.200,2,157.595,165.840,30.000
29.200,3,126.828,183.422,30.000
29.200,4,157.991,148.148,30.000
29.200,5,109.861,183.423,30.000
29.200,6,159.468,131.364,30.000
29.200,7,92.890,183.423,30.000
29.200,8,160.721,115.448,30.000
29.200,9,75.920,183.423,30.000
29.200,10,160.772,98.570,30.000
29.200,11,58.949,183.423,30.000
29.200,12,160.772,81.599,30.000
29.200,13,41.978,183.423,30.000
29.200,14,160.772,64.629,30.000
29.300,0,157.703,183.587,30.000
29.300,1,143.670,184.137,30.000
29.300,2,157.720,166.596,30.000
29.300,3,126.964,184.204,30.000
29.300,4,158.079,148.920,30.000
29.300,5,109.996,184.205,30.000
29.300,6,159.516,132.108,30.000
29.300,7,93.026,184.205,30.000
29.300,8,160.833,116.194,30.000
29.300,9,76.055,184.205,30.000
29.300,10,160.908,99.352,30.000
29.300,11,59.085,184.205,30.000
29.300,12,160.908,82.382,30.000
29.300,13,42.114,184.205,30.000
29.300,14,160.908,65.411,30.000
29.400,0,157.855,184.369,30.000
29.400,1,143.837,184.963,30.000
29.400,2,157.864,167.373,30.000
29.400,3,127.131,185.036,30.000
29.400,4,158.186,149.714,30.000
29.400,5,110.164,185.037,30.000
29.400,6,159.586,132.880,30.000
29.400,7,93.193,185.037,30.000
29.400,8,160.964,116.972,30.000
29.400,9,76.223,185.037,30.000
29.400,10,161.076,100.184,30.000
29.400,11,59.252,185.037,30.000
29.400,12,161.076,83.214,30.000
29.400,13,42.282,185.037,30.000
29.400,14,161.076,66.243,30.000
29.500,0,158.031,185.179,30.000
29.500,1,144.040,185.835,30.000
29.500,2,158.023,168.169,30.000
29.500,3,127.334,185.915,30.000
29.500,4,158.309,150.528,30.000
29.500,5,110.368,185.916,30.000
29.500,6,159.678,133.674,30.000
29.500,7,93.397,185.916,30.000
29.500,8,161.112,117.776,30.000
29.500,9,76.426,185.916,30.000
29.500,10,161.279,101.062,30.000
29.500,11,59.456,185.916,30.000
29.500,12,161.279,84.092,30.000
29.500,13,42.485,185.916,30.000
29.500,14,161.279,67.122,30.000
29.600,0,158.232,186.016,30.000
29.600,1,144.282,186.750,30.000
29.600,2,158.196,168.980,30.000
29.600,3,127.577,186.838,30.000
29.600,4,158.448,151.358,30.000
29.600,5,110.610,186.840,30.000
29.600,6,159.789,134.488,30.000
29.600,7,93.640,186.840,30.000
29.600,8,161.277,118.599,30.000
29.600,9,76.669,186.840,30.000
29.600,10,161.520,101.983,30.000
29.600,11,59.698,186.840,30.000
29.600,12,161.522,85.016,30.000
29.600,13,42.728,186.840,30.000
29.600,14,161.522,68.046,30.000
29.700,0,158.460,186.879,30.000
29.700,1,144.565,187.707,30.000
29.700,2,158.381,169.804,30.000
29.700,3,127.861,187.805,30.000
29.700,4,158.601,152.203,30.000
29.700,5,110.894,187.807,30.000
29.700,6,159.918,135.318,30.000
29.700,7,93.924,187.807,30.000
29.700,8,161.453,119.436,30.000
29.700,9,76.953,187.807,30.000
29.700,10,161.799,102.939,30.000
29.700,11,59.983,187.807,30.000
29.700,12,161.806,85.983,30.000
29.700,13,43.012,187.807,30.000
29.700,14,161.806,69.013,30.000
29.800,0,158.717,187.769,30.000
29.800,1,144.892,188.703,30.000
29.800,2,158.576,170.638,30.000
29.800,3,128.189,188.813,30.000
29.800,4,158.766,153.059,30.000
29.800,5,111.222,188.815,30.000
29.800,6,160.063,136.160,30.000
29.800,7,94.252,188.815,30.000
29.800,8,161.640,120.282,30.000
29.800,9,77.281,188.815,30.000
29.800,10,162.114,103.922,30.000
29.800,11,60.311,188.815,30.000
29.800,12,162.134,86.992,30.000
29.800,13,43.340,188.815,30.000
29.800,14,162.134,70.021,30.000
29.900,0,159.005,188.685,30.000
29.900,1,145.263,189.738,30.000
29.900,2,158.777,171.478,30.000
29.900,3,128.562,189.862,30.000
29.900,4,158.941,153.923,30.000
29.900,5,111.596,189.864,30.000
29.900,6,160.221,137.010,30.000
29.900,7,94.625,189.864,30.000
29.900,8,161.833,121.135,30.000
29.900,9,77.655,189.864,30.000
29.900,10,162.464,104.923,30.000
29.900,11,60.684,189.864,30.000
29.900,12,162.508,88.041,30.000
29.900,13,43.714,189.864,30.000
29.900,14,162.508,71.070,30.000
30.000,0,159.328,189.625,30.000
30.000,1,145.679,190.810,30.000
30.000,2,158.984,172.324,30.000
30.000,3,128.980,190.946,30.000
30.000,4,159.125,154.793,30.000
30.000,5,112.014,190.948,30.000
30.000,6,160.388,137.864,30.000
30.000,7,95.044,190.948,30.000
30.000,8,162.029,121.991,30.000
30.000,9,78.073,190.948,30.000
30.000,10,162.844,105.932,30.000
30.000,11,61.103,190.948,30.000
30.000,12,162.926,89.125,30.000
30.000,13,44.132,190.948,30.000
30.000,14,162.926,72.154,30.000
30.100,0,159.687,190.588,30.000
30.100,1,146.139,191.912,30.000
30.100,2,159.194,173.172,30.000
30.100,3,129.428,192.019,30.000
30.100,4,159.314,155.667,30.000
30.100,5,112.462,192.022,30.000
30.100,6,160.562,138.721,30.000
30.100,7,95.492,192.022,30.000
30.100,8,162.228,122.850,30.000
30.100,9,78.521,192.022,30.000
30.100,10,163.251,106.935,30.000
30.100,11,61.550,192.022,30.000
30.100,12,163.374,90.199,30.000
30.100,13,44.580,192.022,30.000
30.100,14,163.374,73.228,30.000
30.200,0,160.084,191.573,30.000
30.200,1,146.623,193.000,30.000
30.200,2,159.405,174.021,30.000
30.200,3,129.901,193.081,30.000
30.200,4,159.507,156.542,30.000
30.200,5,112.936,193.084,30.000
30.200,6,160.740,139.576,30.000
30.200,7,95.965,193.084,30.000
30.200,8,162.427,123.712,30.000
30.200,9,78.995,193.084,30.000
30.200,10,163.670,107.893,30.000
30.200,11,62.024,193.084,30.000
30.200,12,163.848,91.261,30.000
30.200,13,45.054,193.084,30.000
30.200,14,163.848,74.290,30.000
30.300,0,160.520,192.578,30.000
30.300,1,147.128,194.073,30.000
30.300,2,159.616,174.869,30.000
30.300,3,130.398,194.129,30.000
30.300,4,159.703,157.417,30.000
30.300,5,113.433,194.132,30.000
30.300,6,160.919,140.427,30.000
30.300,7,96.462,194.132,30.000
30.300,8,162.625,124.577,30.000
30.300,9,79.492,194.132,30.000
30.300,10,164.102,108.808,30.000
30.300,11,62.521,194.132,30.000
30.300,12,164.345,92.309,30.000
30.300,13,45.551,194.132,30.000
30.300,14,164.345,75.339,30.000
30.400,0,160.994,193.599,30.000
30.400,1,147.651,195.130,30.000
30.400,2,159.826,175.714,30.000
30.400,3,130.914,195.163,30.000
30.400,4,159.899,158.289,30.000
30.400,5,113.950,195.166,30.000
30.400,6,161.097,141.272,30.000
30.400,7,96.979,195.166,30.000
30.400,8,162.824,125.443,30.000
30.400,9,80.009,195.166,30.000
30.400,10,164.545,109.683,30.000
30.400,11,63.038,195.166,30.000
30.400,12,164.861,93.341,30.000
30.400,13,46.068,195.166,30.000
30.400,14,164.862,76.372,30.000
30.500,0,161.506,194.635,30.000
30.500,1,148.188,196.168,30.000
30.500,2,160.033,176.558,30.000
30.500,3,131.448,196.180,30.000
30.500,4,160.095,159.156,30.000
30.500,5,114.484,196.184,30.000
30.500,6,161.272,142.109,30.000
30.500,7,97.513,196.184,30.000
30.500,8,163.022,126.309,30.000
30.500,9,80.543,196.184,30.000
30.500,10,165.000,110.520,30.000
30.500,11,63.572,196.184,30.000
30.500,12,165.395,94.354,30.000
30.500,13,46.601,196.184,30.000
30.500,14,165.395,77.390,30.000
30.600,0,162.055,195.682,30.000
30.600,1,148.736,197.187,30.000
30.600,2,160.238,177.401,30.000
30.600,3,131.994,197.180,30.000
30.600,4,160.289,160.019,30.000
30.600,5,115.031,197.184,30.000
30.600,6,161.443,142.937,30.000
30.600,7,98.060,197.184,30.000
30.600,8,163.219,127.171,30.000
30.600,9,81.090,197.184,30.000
