FlowId,Src,Dest,Tx,Rx,LossRate
1,1,8,1425,1118,21.5439%
2,2,3,1847,1435,22.3064%
3,2,9,1784,1176,34.0807%
4,1,2,1735,1487,14.2939%
5,3,4,1659,1338,19.349%
6,3,10,1267,723,42.9361%
7,0,1,1667,1466,12.0576%
8,4,5,1590,1146,27.9245%
9,0,7,1764,1162,34.127%
10,5,6,1610,1102,31.5528%
11,5,12,1327,643,51.5448%
12,4,11,1443,1031,28.5516%
13,6,7,1601,940,41.2867%
14,6,13,1512,544,64.0212%
15,7,8,1344,878,34.6726%
16,7,14,1131,579,48.8064%
17,8,9,1397,1010,27.7022%
18,8,0,1564,1064,31.9693%
19,9,10,1276,661,48.1975%
20,9,1,1731,1359,21.4905%
21,10,11,1139,806,29.2362%
22,10,2,1548,869,43.863%
23,11,12,1296,679,47.608%
24,11,3,1928,1324,31.3278%
25,12,13,1168,757,35.1884%
26,12,4,1423,723,49.1918%
27,13,14,1007,623,38.1331%
28,13,5,1926,1437,25.3894%
29,14,0,1206,750,37.8109%
30,14,6,1617,849,47.4954%
