time,nodeId,x,y,z
2,11,-30.524,-15.386,30
2,12,-22.039,-23.871,30
2,13,-13.554,-32.356,30
2,14,-5.068,-40.842,30
2.2,0,13.486,11.359,30
2.2,1,0.759,7.116,30
2.2,2,9.244,-1.369,30
2.2,3,-11.969,2.873,30
2.2,4,-3.484,-5.612,30
2.2,5,5.001,-14.097,30
2.2,6,-24.697,-1.369,30
2.2,7,-16.212,-9.855,30
2.2,8,-7.727,-18.34,30
2.2,9,0.759,-26.825,30
2.2,10,-37.425,-5.612,30
2.2,11,-28.94,-14.097,30
2.2,12,-20.455,-22.583,30
2.2,13,-11.969,-31.068,30
2.2,14,-3.484,-39.553,30
2.4,0,15.109,12.678,30
2.4,1,2.382,8.435,30
2.4,2,10.867,-0.05,30
2.4,3,-10.346,4.193,30
2.4,4,-1.861,-4.292,30
2.4,5,6.624,-12.778,30
2.4,6,-23.074,-0.05,30
2.4,7,-14.589,-8.535,30
2.4,8,-6.104,-17.02,30
2.4,9,2.382,-25.506,30
2.4,10,-35.802,-4.292,30
2.4,11,-27.317,-12.778,30
2.4,12,-18.832,-21.263,30
2.4,13,-10.346,-29.748,30
2.4,14,-1.861,-38.234,30
2.6,0,16.759,14.02,30
2.6,1,4.031,9.777,30
2.6,2,12.516,1.292,30
2.6,3,-8.697,5.535,30
2.6,4,-0.211,-2.951,30
2.6,5,8.274,-11.436,30
2.6,6,-21.425,1.292,30
2.6,7,-12.939,-7.193,30
2.6,8,-4.454,-15.679,30
2.6,9,4.031,-24.164,30
2.6,10,-34.153,-2.951,30
2.6,11,-25.667,-11.436,30
2.6,12,-17.182,-19.921,30
2.6,13,-8.697,-28.407,30
2.6,14,-0.211,-36.892,30
2.8,0,18.424,15.375,30
2.8,1,5.696,11.132,30
2.8,2,14.181,2.647,30
2.8,3,-7.032,6.89,30
2.8,4,1.454,-1.596,30
2.8,5,9.939,-10.081,30
2.8,6,-19.76,2.647,30
2.8,7,-11.274,-5.838,30
2.8,8,-2.789,-14.324,30
2.8,9,5.696,-22.809,30
2.8,10,-32.488,-1.596,30
2.8,11,-24.002,-10.081,30
2.8,12,-15.517,-18.566,30
2.8,13,-7.032,-27.052,30
2.8,14,1.454,-35.537,30
3,0,20.094,16.735,30
3,1,7.366,12.492,30
3,2,15.851,4.007,30
3,3,-5.362,8.25,30
3,4,3.123,-0.236,30
3,5,11.608,-8.721,30
3,6,-18.09,4.007,30
3,7,-9.605,-4.478,30
3,8,-1.12,-12.963,30
3,9,7.366,-21.449,30
3,10,-30.818,-0.236,30
3,11,-22.333,-8.721,30
3,12,-13.847,-17.206,30
3,13,-5.362,-25.691,30
3,14,3.123,-34.177,30
3.2,0,21.758,18.093,30
3.2,1,9.03,13.85,30
3.2,2,17.516,5.365,30
3.2,3,-3.698,9.607,30
3.2,4,4.788,1.122,30
3.2,5,13.273,-7.363,30
3.2,6,-16.426,5.365,30
3.2,7,-7.94,-3.12,30
3.2,8,0.545,-11.606,30
3.2,9,9.03,-20.091,30
3.2,10,-29.153,1.122,30
3.2,11,-20.668,-7.363,30
3.2,12,-12.183,-15.848,30
3.2,13,-3.698,-24.334,30
3.2,14,4.788,-32.819,30
3.4,0,23.409,19.441,30
3.4,1,10.682,15.199,30
3.4,2,19.167,6.713,30
3.4,3,-2.046,10.956,30
3.4,4,6.439,2.471,30
3.4,5,14.924,-6.015,30
3.4,6,-14.774,6.713,30
3.4,7,-6.289,-1.772,30
3.4,8,2.196,-10.257,30
3.4,9,10.682,-18.742,30
3.4,10,-27.502,2.471,30
3.4,11,-19.017,-6.015,30
3.4,12,-10.532,-14.5,30
3.4,13,-2.046,-22.985,30
3.4,14,6.439,-31.47,30
3.6,0,25.04,20.775,30
3.6,1,12.312,16.532,30
3.6,2,20.798,8.047,30
3.6,3,-0.415,12.29,30
3.6,4,8.07,3.805,30
3.6,5,16.555,-4.681,30
3.6,6,-13.143,8.047,30
3.6,7,-4.658,-0.438,30
3.6,8,3.827,-8.923,30
3.6,9,12.312,-17.409,30
3.6,10,-25.871,3.805,30
3.6,11,-17.386,-4.681,30
3.6,12,-8.901,-13.166,30
3.6,13,-0.415,-21.651,30
3.6,14,8.07,-30.137,30
3.8,0,26.645,22.09,30
3.8,1,13.917,17.847,30
3.8,2,22.403,9.362,30
3.8,3,1.189,13.604,30
3.8,4,9.675,5.119,30
3.8,5,18.16,-3.366,30
3.8,6,-11.538,9.362,30
3.8,7,-3.053,0.876,30
3.8,8,5.432,-7.609,30
3.8,9,13.917,-16.094,30
3.8,10,-24.266,5.119,30
3.8,11,-15.781,-3.366,30
3.8,12,-7.296,-11.852,30
3.8,13,1.189,-20.337,30
3.8,14,9.675,-28.822,30
4,0,28.22,23.381,30
4,1,15.492,19.139,30
4,2,23.978,10.653,30
4,3,2.764,14.896,30
4,4,11.25,6.411,30
4,5,19.735,-2.075,30
4,6,-9.963,10.653,30
4,7,-1.478,2.168,30
4,8,7.007,-6.317,30
4,9,15.492,-14.802,30
4,10,-22.691,6.411,30
4,11,-14.206,-2.075,30
4,12,-5.721,-10.56,30
4,13,2.764,-19.045,30
4,14,11.25,-27.53,30
4.2,0,29.763,24.648,30
4.2,1,17.035,20.405,30
4.2,2,25.52,11.92,30
4.2,3,4.307,16.163,30
4.2,4,12.792,7.677,30
4.2,5,21.277,-0.808,30
4.2,6,-8.421,11.92,30
4.2,7,0.064,3.435,30
4.2,8,8.549,-5.05,30
4.2,9,17.035,-13.536,30
4.2,10,-21.149,7.677,30
4.2,11,-12.664,-0.808,30
4.2,12,-4.179,-9.293,30
4.2,13,4.307,-17.778,30
4.2,14,12.792,-26.264,30
4.4,0,31.271,25.889,30
4.4,1,18.543,21.646,30
4.4,2,27.028,13.161,30
4.4,3,5.815,17.403,30
4.4,4,14.3,8.918,30
4.4,5,22.785,0.433,30
4.4,6,-6.913,13.161,30
4.4,7,1.572,4.675,30
4.4,8,10.058,-3.81,30
4.4,9,18.543,-12.295,30
4.4,10,-19.641,8.918,30
4.4,11,-11.156,0.433,30
4.4,12,-2.67,-8.053,30
4.4,13,5.815,-16.538,30
4.4,14,14.3,-25.023,30
4.6,0,32.745,27.103,30
4.6,1,20.017,22.86,30
4.6,2,28.502,14.375,30
4.6,3,7.289,18.617,30
4.6,4,15.774,10.132,30
4.6,5,24.26,1.647,30
4.6,6,-5.439,14.375,30
4.6,7,3.046,5.889,30
4.6,8,11.532,-2.596,30
4.6,9,20.017,-11.081,30
4.6,10,-18.167,10.132,30
4.6,11,-9.682,1.647,30
4.6,12,-1.196,-6.839,30
4.6,13,7.289,-15.324,30
4.6,14,15.774,-23.809,30
4.8,0,34.186,28.291,30
4.8,1,21.458,24.048,30
4.8,2,29.943,15.563,30
4.8,3,8.73,19.805,30
4.8,4,17.215,11.32,30
4.8,5,25.701,2.835,30
4.8,6,-3.998,15.563,30
4.8,7,4.487,7.078,30
4.8,8,12.973,-1.408,30
4.8,9,21.458,-9.893,30
4.8,10,-16.726,11.32,30
4.8,11,-8.241,2.835,30
4.8,12,0.245,-5.65,30
4.8,13,8.73,-14.136,30
4.8,14,17.215,-22.621,30
5,0,35.596,29.455,30
5,1,22.868,25.212,30
5,2,31.353,16.727,30
5,3,10.14,20.969,30
5,4,18.625,12.484,30
5,5,27.11,3.999,30
5,6,-2.588,16.727,30
5,7,5.897,8.241,30
5,8,14.383,-0.244,30
5,9,22.868,-8.729,30
5,10,-15.316,12.484,30
5,11,-6.831,3.999,30
5,12,1.655,-4.487,30
5,13,10.14,-12.972,30
5,14,18.625,-21.457,30
5.2,0,36.977,30.596,30
5.2,1,24.249,26.354,30
5.2,2,32.735,17.868,30
5.2,3,11.521,22.111,30
5.2,4,20.007,13.626,30
5.2,5,28.492,5.14,30
5.2,6,-1.207,17.868,30
5.2,7,7.279,9.383,30
5.2,8,15.764,0.898,30
5.2,9,24.249,-7.588,30
5.2,10,-13.935,13.626,30
5.2,11,-5.449,5.14,30
5.2,12,3.036,-3.345,30
5.2,13,11.521,-11.83,30
5.2,14,20.007,-20.316,30
5.4,0,38.334,31.718,30
5.4,1,25.606,27.475,30
5.4,2,34.091,18.99,30
5.4,3,12.878,23.233,30
5.4,4,21.363,14.747,30
5.4,5,29.848,6.262,30
5.4,6,0.15,18.99,30
5.4,7,8.635,10.505,30
5.4,8,17.12,2.02,30
5.4,9,25.606,-6.466,30
5.4,10,-12.578,14.747,30
5.4,11,-4.093,6.262,30
5.4,12,4.393,-2.223,30
5.4,13,12.878,-10.708,30
5.4,14,21.363,-19.194,30
5.6,0,39.669,32.823,30
5.6,1,26.941,28.581,30
5.6,2,35.426,20.095,30
5.6,3,14.213,24.338,30
5.6,4,22.698,15.853,30
5.6,5,31.184,7.367,30
5.6,6,1.485,20.095,30
5.6,7,9.97,11.61,30
5.6,8,18.456,3.125,30
5.6,9,26.941,-5.361,30
5.6,10,-11.243,15.853,30
5.6,11,-2.758,7.367,30
5.6,12,5.728,-1.118,30
5.6,13,14.213,-9.603,30
5.6,14,22.698,-18.088,30
5.8,0,40.987,33.915,30
5.8,1,28.259,29.672,30
5.8,2,36.744,21.187,30
5.8,3,15.531,25.43,30
5.8,4,24.016,16.944,30
5.8,5,32.502,8.459,30
5.8,6,2.803,21.187,30
5.8,7,11.288,12.702,30
5.8,8,19.774,4.216,30
5.8,9,28.259,-4.269,30
5.8,10,-9.925,16.944,30
5.8,11,-1.44,8.459,30
5.8,12,7.046,-0.026,30
5.8,13,15.531,-8.512,30
5.8,14,24.016,-16.997,30
6,0,42.292,34.996,30
6,1,29.564,30.754,30
6,2,38.049,22.268,30
6,3,16.836,26.511,30
6,4,25.321,18.026,30
6,5,33.807,9.54,30
6,6,4.108,22.268,30
6,7,12.593,13.783,30
6,8,21.079,5.298,30
6,9,29.564,-3.188,30
6,10,-8.62,18.026,30
6,11,-0.135,9.54,30
6,12,8.351,1.055,30
6,13,16.836,-7.43,30
6,14,25.321,-15.916,30
6.2,0,43.588,36.071,30
6.2,1,30.86,31.828,30
6.2,2,39.345,23.343,30
6.2,3,18.132,27.585,30
6.2,4,26.617,19.1,30
6.2,5,35.103,10.615,30
6.2,6,5.404,23.343,30
6.2,7,13.889,14.857,30
6.2,8,22.375,6.372,30
6.2,9,30.86,-2.113,30
6.2,10,-7.324,19.1,30
6.2,11,1.161,10.615,30
6.2,12,9.647,2.129,30
6.2,13,18.132,-6.356,30
6.2,14,26.617,-14.841,30
6.4,0,44.879,37.141,30
6.4,1,32.151,32.898,30
6.4,2,40.636,24.413,30
6.4,3,19.423,28.656,30
6.4,4,27.908,20.17,30
6.4,5,36.394,11.685,30
6.4,6,6.695,24.413,30
6.4,7,15.18,15.928,30
6.4,8,23.666,7.443,30
6.4,9,32.151,-1.043,30
6.4,10,-6.033,20.17,30
6.4,11,2.452,11.685,30
6.4,12,10.938,3.2,30
6.4,13,19.423,-5.285,30
6.4,14,27.908,-13.771,30
6.6,0,46.169,38.211,30
6.6,1,33.441,33.968,30
6.6,2,41.926,25.483,30
6.6,3,20.713,29.725,30
6.6,4,29.198,21.24,30
6.6,5,37.683,12.755,30
6.6,6,7.985,25.483,30
6.6,7,16.47,16.997,30
6.6,8,24.955,8.512,30
6.6,9,33.441,0.027,30
6.6,10,-4.743,21.24,30
6.6,11,3.742,12.755,30
6.6,12,12.227,4.269,30
6.6,13,20.713,-4.216,30
6.6,14,29.198,-12.701,30
6.8,0,47.46,39.282,30
6.8,1,34.732,35.039,30
6.8,2,43.218,26.554,30
6.8,3,22.004,30.797,30
6.8,4,30.49,22.311,30
6.8,5,38.975,13.826,30
6.8,6,9.276,26.554,30
6.8,7,17.762,18.069,30
6.8,8,26.247,9.583,30
6.8,9,34.732,1.098,30
6.8,10,-3.451,22.311,30
6.8,11,5.034,13.826,30
6.8,12,13.519,5.341,30
