time,num_nodes,num_links,avg_degree,network_density
0,15,105,14,1
0.2,15,105,14,1
0.4,15,105,14,1
0.6,15,105,14,1
0.8,15,105,14,1
1,15,105,14,1
1.2,15,105,14,1
1.4,15,105,14,1
1.6,15,105,14,1
1.8,15,105,14,1
2,15,105,14,1
2.2,15,105,14,1
2.4,15,105,14,1
2.6,15,105,14,1
2.8,15,105,14,1
3,15,105,14,1
3.2,15,105,14,1
3.4,15,105,14,1
3.6,15,105,14,1
3.8,15,105,14,1
4,15,105,14,1
4.2,15,105,14,1
4.4,15,105,14,1
4.6,15,105,14,1
4.8,15,105,14,1
5,15,105,14,1
5.2,15,105,14,1
5.4,15,105,14,1
5.6,15,105,14,1
5.8,15,105,14,1
6,15,105,14,1
6.2,15,105,14,1
6.4,15,105,14,1
6.6,15,105,14,1
6.8,15,105,14,1
7,15,105,14,1
7.2,15,105,14,1
7.4,15,105,14,1
7.6,15,105,14,1
7.8,15,105,14,1
8,15,105,14,1
8.2,15,105,14,1
8.4,15,105,14,1
8.6,15,105,14,1
8.8,15,105,14,1
9,15,105,14,1
9.2,15,105,14,1
9.4,15,105,14,1
9.6,15,105,14,1
9.8,15,105,14,1
10,15,105,14,1
10.2,15,105,14,1
10.4,15,105,14,1
10.6,15,105,14,1
10.8,15,105,14,1
11,15,105,14,1
11.2,15,105,14,1
11.4,15,105,14,1
11.6,15,105,14,1
11.8,15,105,14,1
12,15,105,14,1
12.2,15,105,14,1
12.4,15,105,14,1
12.6,15,105,14,1
12.8,15,105,14,1
13,15,105,14,1
13.2,15,105,14,1
13.4,15,105,14,1
13.6,15,105,14,1
13.8,15,105,14,1
14,15,105,14,1
14.2,15,105,14,1
14.4,15,105,14,1
14.6,15,105,14,1
14.8,15,105,14,1
15,15,105,14,1
15.2,15,105,14,1
15.4,15,105,14,1
15.6,15,105,14,1
15.8,15,105,14,1
16,15,105,14,1
16.2,15,105,14,1
16.4,15,105,14,1
16.6,15,105,14,1
16.8,15,105,14,1
17,15,105,14,1
17.2,15,105,14,1
17.4,15,105,14,1
17.6,15,105,14,1
17.8,15,105,14,1
18,15,105,14,1
18.2,15,105,14,1
18.4,15,105,14,1
18.6,15,105,14,1
18.8,15,105,14,1
19,15,105,14,1
19.2,15,105,14,1
19.4,15,105,14,1
19.6,15,105,14,1
19.8,15,105,14,1
20,15,105,14,1
20.2,15,105,14,1
20.4,15,105,14,1
20.6,15,105,14,1
20.8,15,105,14,1
21,15,105,14,1
21.2,15,105,14,1
21.4,15,105,14,1
21.6,15,105,14,1
21.8,15,105,14,1
22,15,105,14,1
22.2,15,105,14,1
22.4,15,105,14,1
22.6,15,105,14,1
22.8,15,105,14,1
23,15,105,14,1
23.2,15,105,14,1
23.4,15,105,14,1
23.6,15,105,14,1
23.8,15,105,14,1
24,15,105,14,1
24.2,15,105,14,1
24.4,15,105,14,1
24.6,15,105,14,1
24.8,15,105,14,1
25,15,105,14,1
25.2,15,105,14,1
25.4,15,105,14,1
25.6,15,105,14,1
25.8,15,105,14,1
26,15,105,14,1
26.2,15,105,14,1
26.4,15,105,14,1
26.6,15,105,14,1
26.8,15,105,14,1
27,15,105,14,1
27.2,15,105,14,1
27.4,15,105,14,1
27.6,15,105,14,1
27.8,15,105,14,1
28,15,105,14,1
28.2,15,105,14,1
28.4,15,105,14,1
28.6,15,105,14,1
28.8,15,105,14,1
29,15,105,14,1
29.2,15,105,14,1
29.4,15,105,14,1
29.6,15,105,14,1
29.8,15,105,14,1
30,15,105,14,1
30.2,15,105,14,1
30.4,15,105,14,1
30.6,15,105,14,1
30.8,15,105,14,1
31,15,105,14,1
31.2,15,105,14,1
31.4,15,105,14,1
31.6,15,105,14,1
31.8,15,105,14,1
32,15,105,14,1
32.2,15,105,14,1
32.4,15,105,14,1
32.6,15,105,14,1
32.8,15,105,14,1
33,15,105,14,1
33.2,15,105,14,1
33.4,15,105,14,1
33.6,15,105,14,1
33.8,15,105,14,1
34,15,105,14,1
34.2,15,105,14,1
34.4,15,105,14,1
34.6,15,105,14,1
34.8,15,105,14,1
35,15,105,14,1
35.2,15,105,14,1
35.4,15,105,14,1
35.6,15,105,14,1
35.8,15,105,14,1
36,15,105,14,1
36.2,15,105,14,1
36.4,15,105,14,1
36.6,15,105,14,1
36.8,15,105,14,1
37,15,105,14,1
37.2,15,105,14,1
37.4,15,105,14,1
37.6,15,105,14,1
37.8,15,105,14,1
38,15,105,14,1
38.2,15,105,14,1
38.4,15,105,14,1
38.6,15,105,14,1
38.8,15,105,14,1
39,15,105,14,1
39.2,15,105,14,1
39.4,15,105,14,1
39.6,15,105,14,1
