# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 2109.9x1693.8 米
99.16 140.18 1020.07 1036.3 0.0 3.5
93.74 137.6 973.36 1020.08 0.0 7.0
59.16 80.91 990.19 1010.23 0.0 3.5
14.47 59.55 992.73 1010.61 0.0 3.5
224.17 280.38 975.31 992.14 0.0 3.5
225.42 234.58 993.13 1013.22 0.0 3.5
238.76 266.07 1099.79 1161.04 0.0 7.0
233.44 249.01 1276.23 1308.64 0.0 7.0
255.57 280.31 1265.55 1290.94 0.0 14.0
248.78 278.67 1244.39 1258.94 0.0 3.5
161.74 243.02 1177.63 1271.1 0.0 42.0
215.46 276.84 1340.7 1361.53 0.0 3.5
97.75 113.49 1319.4 1355.98 0.0 3.5
52.06 91.22 1313.21 1337.37 0.0 3.5
32.1 94.62 1340.02 1358.67 0.0 3.5
26.25 46.49 1187.13 1203.3 0.0 10.5
30.53 47.24 1204.32 1259.05 0.0 17.5
25.84 56.41 1270.73 1324.43 0.0 7.0
27.99 46.81 1134.55 1183.98 0.0 3.5
342.31 355.24 272.74 287.12 0.0 35.0
812.07 850.26 949.79 1002.41 0.0 10.5
813.53 837.85 963.86 977.09 0.0 21.0
790.16 822.01 1626.06 1693.82 0.0 35.0
788.48 821.42 1585.1 1601.74 0.0 17.5
788.71 821.05 1541.26 1579.6 0.0 38.5
705.41 734.3 1547.97 1568.67 0.0 31.5
705.41 733.62 1570.48 1590.27 0.0 14.0
724.36 760.96 552.04 571.69 0.0 31.5
787.9 814.5 586.15 785.23 0.0 21.0
739.22 790.75 417.49 448.84 0.0 17.5
658.84 684.58 399.91 437.75 0.0 42.0
325.54 337.39 332.81 342.01 0.0 35.0
339.69 357.87 332.16 346.52 0.0 10.5
360.85 372.09 332.61 341.58 0.0 31.5
359.84 369.81 347.5 364.94 0.0 38.5
325.91 336.41 348.17 364.56 0.0 21.0
328.03 368.9 311.78 329.36 0.0 7.0
310.64 318.81 334.39 369.87 0.0 10.5
375.15 383.64 335.76 370.08 0.0 38.5
282.17 331.87 381.8 404.08 0.0 31.5
353.77 402.81 388.82 405.5 0.0 10.5
0.0 2109.92 0.0 774.08 0.0 0.5
709.0 749.38 1593.25 1609.26 0.0 17.5
747.15 769.67 1580.92 1590.16 0.0 17.5
724.12 736.41 1198.84 1206.01 0.0 10.5
724.09 736.49 1186.51 1194.74 0.0 35.0
724.45 736.46 1175.29 1183.59 0.0 28.0
724.68 736.71 1164.11 1171.82 0.0 14.0
724.45 740.39 1153.78 1162.35 0.0 17.5
742.13 760.27 1157.51 1165.28 0.0 35.0
724.1 736.44 1210.37 1217.71 0.0 31.5
722.75 736.36 1222.31 1230.73 0.0 10.5
722.45 741.05 1236.44 1244.32 0.0 28.0
742.87 781.03 1192.47 1242.1 0.0 14.0
638.64 646.52 824.12 847.61 0.0 38.5
661.76 689.11 1610.99 1621.31 0.0 17.5
803.67 827.2 419.32 545.75 0.0 10.5
822.26 851.63 915.89 950.2 0.0 28.0
829.19 848.67 891.8 899.79 0.0 38.5
848.9 860.29 754.04 789.54 0.0 42.0
838.82 850.2 755.41 761.81 0.0 38.5
824.92 858.32 740.47 750.58 0.0 42.0
831.46 858.45 635.45 662.94 0.0 14.0
835.44 844.61 665.36 670.62 0.0 42.0
847.94 859.05 665.48 670.83 0.0 14.0
830.0 864.03 671.89 693.19 0.0 21.0
836.99 852.67 595.09 603.0 0.0 35.0
837.67 850.39 549.0 593.54 0.0 17.5
849.61 865.75 573.76 590.94 0.0 24.5
850.13 883.22 355.55 407.2 0.0 17.5
823.98 831.59 1393.66 1405.27 0.0 28.0
825.99 832.57 1357.92 1369.5 0.0 21.0
795.77 804.34 1392.85 1404.56 0.0 42.0
807.77 820.98 1382.42 1391.75 0.0 28.0
797.59 803.29 1377.02 1385.33 0.0 31.5
810.21 821.05 1353.84 1361.6 0.0 14.0
804.58 814.38 1175.1 1204.0 0.0 35.0
815.19 832.8 1202.46 1211.4 0.0 10.5
830.68 842.46 1185.87 1199.15 0.0 28.0
815.65 832.95 1177.75 1188.49 0.0 28.0
812.64 844.68 1213.12 1221.05 0.0 42.0
807.84 839.65 1223.69 1229.99 0.0 38.5
807.74 842.85 1244.46 1255.98 0.0 14.0
815.72 822.76 1231.32 1243.19 0.0 17.5
837.05 843.76 1231.23 1242.77 0.0 31.5
804.88 827.37 1257.23 1264.3 0.0 24.5
833.59 842.06 1257.75 1262.82 0.0 28.0
801.32 836.62 1277.93 1293.61 0.0 35.0
799.74 815.25 1291.4 1310.51 0.0 42.0
820.17 835.98 1292.64 1311.27 0.0 38.5
799.45 834.78 1310.22 1319.93 0.0 14.0
715.77 723.74 1319.19 1329.76 0.0 17.5
706.4 749.27 1497.67 1507.64 0.0 35.0
833.96 842.77 68.25 92.99 0.0 17.5
767.91 819.78 67.42 92.11 0.0 17.5
645.91 655.52 227.88 242.84 0.0 38.5
649.77 658.88 210.89 228.2 0.0 21.0
648.18 685.71 175.33 208.33 0.0 28.0
651.01 670.9 165.53 173.22 0.0 10.5
650.52 659.6 139.16 155.96 0.0 14.0
650.91 661.45 129.21 137.57 0.0 38.5
649.48 673.3 113.81 124.56 0.0 10.5
678.51 687.24 212.07 230.6 0.0 31.5
656.51 679.15 228.85 246.68 0.0 10.5
372.01 394.71 13.82 21.8 0.0 42.0
569.4 575.43 1284.84 1318.65 0.0 17.5
601.02 626.36 1304.81 1331.11 0.0 10.5
514.35 527.98 1270.24 1283.25 0.0 31.5
701.45 725.8 1386.18 1395.2 0.0 35.0
701.93 710.55 1396.74 1403.0 0.0 10.5
700.53 711.84 1380.7 1385.74 0.0 31.5
713.65 728.09 1376.9 1382.94 0.0 17.5
732.94 756.5 1437.42 1446.94 0.0 24.5
760.61 769.87 1436.53 1447.08 0.0 28.0
753.69 773.98 1461.89 1468.28 0.0 31.5
728.1 770.01 1449.74 1456.84 0.0 21.0
703.67 714.88 1444.81 1453.63 0.0 42.0
705.25 735.11 1457.51 1479.69 0.0 35.0
706.28 711.25 1488.41 1498.44 0.0 14.0
705.12 734.67 1481.48 1485.83 0.0 17.5
705.4 710.63 1508.29 1532.48 0.0 28.0
706.7 710.25 1533.43 1545.23 0.0 17.5
273.0 298.08 708.14 744.5 0.0 28.0
248.6 269.83 713.08 733.75 0.0 31.5
293.66 321.84 697.0 714.39 0.0 24.5
288.9 312.33 678.08 696.1 0.0 42.0
318.19 331.42 684.61 695.89 0.0 10.5
267.38 285.81 608.08 621.03 0.0 28.0
365.54 387.44 578.36 594.92 0.0 31.5
362.56 388.62 629.51 646.03 0.0 42.0
354.31 374.81 600.72 614.32 0.0 35.0
277.18 303.28 646.1 663.74 0.0 21.0
305.66 319.66 656.48 676.12 0.0 31.5
297.21 309.47 628.17 643.61 0.0 31.5
311.32 337.27 635.59 651.54 0.0 31.5
321.32 334.29 618.3 636.49 0.0 17.5
331.15 353.57 606.94 622.54 0.0 38.5
305.08 329.09 606.55 623.07 0.0 42.0
291.12 305.26 607.23 626.99 0.0 24.5
346.05 366.0 659.94 674.24 0.0 21.0
206.49 223.24 644.87 655.55 0.0 21.0
254.32 274.08 623.4 654.71 0.0 38.5
260.32 275.16 656.75 671.53 0.0 28.0
181.36 197.26 750.35 777.04 0.0 17.5
821.21 830.65 754.11 784.67 0.0 24.5
129.89 161.89 1632.88 1653.09 0.0 10.5
161.63 219.43 1621.69 1641.38 0.0 28.0
325.38 348.25 1512.21 1525.03 0.0 21.0
175.73 223.91 1467.14 1519.92 0.0 14.0
174.46 223.38 1520.12 1549.39 0.0 10.5
164.64 222.32 1550.51 1566.8 0.0 14.0
226.41 235.34 1616.26 1642.13 0.0 35.0
392.72 430.42 1574.86 1644.11 0.0 38.5
282.41 341.49 1328.06 1377.75 0.0 14.0
66.79 77.32 1426.87 1457.78 0.0 38.5
74.04 127.42 1588.16 1599.0 0.0 14.0
70.37 81.06 1604.14 1621.68 0.0 38.5
116.71 127.4 1606.67 1622.13 0.0 24.5
6.79 66.67 1641.1 1660.82 0.0 28.0
394.54 401.25 594.65 600.61 0.0 14.0
403.77 421.15 559.64 592.38 0.0 14.0
466.52 486.95 534.19 567.25 0.0 28.0
394.63 407.41 539.72 550.75 0.0 17.5
102.34 112.14 712.14 726.43 0.0 42.0
