# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 876.4x1680.0 米
92.37 133.4 1006.25 1022.48 0.0 3.33
86.95 130.81 959.54 1006.26 0.0 6.66
52.37 74.12 976.37 996.41 0.0 3.33
7.68 52.76 978.91 996.79 0.0 3.33
217.38 273.6 961.49 978.32 0.0 3.33
218.64 227.8 979.31 999.39 0.0 3.33
231.97 259.29 1085.97 1147.21 0.0 6.66
226.65 242.23 1262.41 1294.81 0.0 6.66
248.78 273.52 1251.73 1277.11 0.0 13.32
242.0 271.88 1230.57 1245.12 0.0 3.33
154.96 236.23 1163.81 1257.28 0.0 9.99
208.67 270.05 1326.87 1347.71 0.0 3.33
90.96 106.71 1305.58 1342.16 0.0 3.33
45.27 84.43 1299.39 1323.54 0.0 3.33
25.31 87.84 1326.19 1344.85 0.0 3.33
19.46 39.71 1173.31 1189.48 0.0 9.99
23.74 40.46 1190.49 1245.23 0.0 16.65
19.05 49.62 1256.91 1310.61 0.0 6.66
21.2 40.02 1120.73 1170.16 0.0 3.33
335.53 348.45 258.92 273.3 0.0 9.99
805.28 843.47 935.96 988.58 0.0 9.99
806.75 831.06 950.03 963.27 0.0 9.99
783.38 815.23 1612.24 1680.0 0.0 9.99
781.7 814.63 1571.27 1587.92 0.0 9.99
781.93 814.26 1527.44 1565.78 0.0 9.99
698.63 727.51 1534.15 1554.84 0.0 9.99
698.63 726.83 1556.66 1576.45 0.0 9.99
717.57 754.17 538.22 557.87 0.0 9.99
781.11 807.71 572.33 771.41 0.0 9.99
732.43 783.96 403.67 435.01 0.0 9.99
652.05 677.79 386.09 423.93 0.0 9.99
318.76 330.6 318.99 328.19 0.0 9.99
332.9 351.08 318.34 332.7 0.0 9.99
354.06 365.3 318.79 327.76 0.0 9.99
353.05 363.02 333.68 351.11 0.0 9.99
319.12 329.63 334.35 350.73 0.0 9.99
321.24 362.11 297.96 315.53 0.0 6.66
303.86 312.02 320.57 356.04 0.0 9.99
368.36 376.85 321.94 356.26 0.0 9.99
275.38 325.08 367.98 390.25 0.0 9.99
346.98 396.03 375.0 391.68 0.0 9.99
702.21 742.59 1579.42 1595.44 0.0 9.99
740.36 762.89 1567.1 1576.34 0.0 9.99
717.33 729.62 1185.02 1192.19 0.0 9.99
717.3 729.71 1172.68 1180.92 0.0 9.99
717.67 729.67 1161.46 1169.77 0.0 9.99
717.9 729.93 1150.29 1158.0 0.0 9.99
717.66 733.61 1139.96 1148.53 0.0 9.99
735.34 753.48 1143.69 1151.46 0.0 9.99
717.31 729.65 1196.55 1203.89 0.0 9.99
715.96 729.58 1208.48 1216.91 0.0 9.99
715.66 734.27 1222.62 1230.49 0.0 9.99
736.08 774.24 1178.65 1228.28 0.0 9.99
631.86 639.74 810.29 833.78 0.0 9.99
654.97 682.33 1597.17 1607.49 0.0 9.99
796.89 820.41 405.49 531.93 0.0 9.99
815.47 844.85 902.07 936.37 0.0 9.99
822.41 841.88 877.98 885.97 0.0 9.99
842.11 853.5 740.22 775.72 0.0 9.99
832.04 843.41 741.59 747.99 0.0 9.99
818.13 851.53 726.65 736.76 0.0 9.99
824.67 851.66 621.63 649.11 0.0 9.99
828.65 837.82 651.54 656.8 0.0 9.99
841.15 852.26 651.65 657.01 0.0 9.99
823.22 857.24 658.06 679.37 0.0 9.99
830.2 845.88 581.27 589.18 0.0 9.99
830.88 843.61 535.18 579.72 0.0 9.99
842.82 858.97 559.94 577.11 0.0 9.99
843.34 876.44 341.73 393.38 0.0 9.99
817.19 824.81 1379.84 1391.45 0.0 9.99
819.2 825.79 1344.09 1355.68 0.0 9.99
788.99 797.55 1379.03 1390.74 0.0 9.99
800.98 814.19 1368.6 1377.92 0.0 9.99
790.81 796.5 1363.2 1371.51 0.0 9.99
803.43 814.26 1340.02 1347.78 0.0 9.99
797.79 807.59 1161.27 1190.17 0.0 9.99
808.4 826.01 1188.64 1197.57 0.0 9.99
823.89 835.67 1172.05 1185.33 0.0 9.99
808.86 826.16 1163.92 1174.67 0.0 9.99
805.85 837.89 1199.3 1207.23 0.0 9.99
801.05 832.87 1209.86 1216.17 0.0 9.99
800.95 836.07 1230.64 1242.16 0.0 9.99
808.93 815.97 1217.5 1229.37 0.0 9.99
830.26 836.97 1217.41 1228.94 0.0 9.99
798.1 820.58 1243.41 1250.47 0.0 9.99
826.8 835.27 1243.93 1248.99 0.0 9.99
794.54 829.83 1264.11 1279.78 0.0 9.99
792.95 808.46 1277.58 1296.68 0.0 9.99
813.38 829.19 1278.82 1297.45 0.0 9.99
792.67 827.99 1296.39 1306.11 0.0 9.99
