FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,2415,0%
2,2,9,2415,2415,0%
3,3,4,2415,2415,0%
4,4,5,2403,2298,4.36954%
5,4,11,2315,1144,50.5832%
6,1,2,2369,2230,5.86745%
7,1,8,2369,1146,51.6252%
8,6,13,2413,2390,0.95317%
9,3,10,2413,2412,0.0414422%
10,7,8,2412,2412,0%
11,7,14,2412,2412,0%
12,9,10,2411,2411,0%
13,9,1,2359,1141,51.632%
14,10,11,2311,1130,51.1034%
15,10,2,2410,2410,0%
16,12,13,2409,2408,0.041511%
17,12,4,2409,2405,0.166044%
18,13,14,2409,2408,0.041511%
19,13,5,2385,2311,3.10273%
20,14,6,2408,2408,0%
21,11,12,2319,2155,7.07201%
22,8,9,2393,2333,2.50731%
23,5,6,2370,2227,6.03376%
24,5,12,2370,2272,4.13502%
25,6,7,2392,2372,0.83612%
26,11,3,2317,2170,6.34441%
27,0,7,2290,2290,0%
28,14,0,2290,2290,0%
29,8,0,2290,2278,0.524017%
30,0,1,2241,2231,0.446229%
