time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
76.5,4,10,15,9,none,0.4
76.5,5,9,15,9,none,0.4
76.5,6,8,15,9,none,0.4
76.5,7,7,15,10,none,0.757666
76.5,8,6,15,9,none,0.4
76.5,9,5,15,9,none,0.4
76.5,10,4,15,9,none,0.4
76.5,11,3,15,9,none,0.4
76.5,12,2,15,9,none,0.4
76.5,13,1,15,9,none,0.4
76.5,14,0,15,9,none,0.4
81.5,0,14,15,9,none,0.4
81.5,1,13,15,10,none,0.615096
81.5,2,12,15,10,none,0.715683
81.5,3,11,15,9,none,0.4
81.5,4,10,15,9,none,0.4
81.5,5,9,15,9,none,0.4
81.5,6,8,15,10,none,0.784239
81.5,7,7,15,9,none,0.4
81.5,8,6,15,9,none,0.4
81.5,9,5,15,9,none,0.4
81.5,10,4,15,9,none,0.4
81.5,11,3,15,10,none,0.689676
81.5,12,2,15,9,none,0.4
81.5,13,1,15,9,none,0.4
81.5,14,0,15,9,none,0.4
86.5,0,14,15,9,none,0.4
86.5,1,13,15,9,none,0.4
86.5,2,12,15,10,none,0.678
86.5,3,11,15,10,none,0.79212
86.5,4,10,15,9,none,0.4
86.5,5,9,15,9,none,0.4
86.5,6,8,15,9,none,0.4
86.5,7,7,15,9,none,0.4
86.5,8,6,15,9,none,0.4
86.5,9,5,15,9,none,0.4
86.5,10,4,15,9,none,0.4
86.5,11,3,15,10,none,0.576574
86.5,12,2,15,9,none,0.4
86.5,13,1,15,10,none,0.656063
86.5,14,0,15,9,none,0.4
