time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput,uav15_pdr,uav15_delay,uav15_throughput,uav16_pdr,uav16_delay,uav16_throughput,uav17_pdr,uav17_delay,uav17_throughput,uav18_pdr,uav18_delay,uav18_throughput,uav19_pdr,uav19_delay,uav19_throughput,uav20_pdr,uav20_delay,uav20_throughput,uav21_pdr,uav21_delay,uav21_throughput,uav22_pdr,uav22_delay,uav22_throughput,uav23_pdr,uav23_delay,uav23_throughput,uav24_pdr,uav24_delay,uav24_throughput,uav25_pdr,uav25_delay,uav25_throughput,uav26_pdr,uav26_delay,uav26_throughput,uav27_pdr,uav27_delay,uav27_throughput,uav28_pdr,uav28_delay,uav28_throughput,uav29_pdr,uav29_delay,uav29_throughput
11,0,0,0,1,0.00553397,183622,1,0.00527224,182092,1,0.00522812,180561,1,0.00659114,179031,0.695652,0.111786,122415,0.464912,0.00379192,81099.6,1,0.0053247,172911,1,0.00653581,171380,1,0.00669358,169850,0.472477,0.00225371,78804.4,0.472222,0.00173999,78039.3,1,0.00605946,163729,0.495283,0.00291334,80334.5,0.5,0.00224789,79569.5,0.5,0.00178659,78804.4,1,0.00518043,156079,1,0.00734785,154548,0.99,0.00700567,151488,1,0.00838413,149958,0.886598,0.0434875,131596,0.614583,0.152659,90280.7,0.984211,0.010189,143072,1,0.00659089,142307,0.380435,0.0436203,53556.4,0,0,0,0,0,0,0.5,0.00369501,68093.1,0,0,0,0,0,0
12,0,0,0,1,0.00547008,186555,1,0.00517427,183749,1,0.00529815,182347,1,0.00651306,180944,0.726562,0.0989912,130448,0.515873,0.00403757,91173.3,1,0.00521709,175333,1,0.00642208,173931,1,0.00651263,172528,0.422131,0.00225371,72237.3,0.425,0.00173999,71536,1,0.00608037,166917,0.5,0.00291616,82757.3,0.5,0.00237708,82056,0.5,0.00179719,80653.3,1,0.00504014,159904,1,0.00698989,158501,1,0.00683647,157099,1,0.00784173,155696,0.899083,0.038034,137461,0.657407,0.129254,99589.3,1,0.0101156,150085,1,0.0063064,148683,0.394231,0.037545,57509.3,0,0,0,0,0,0,0.5,0.00339792,70834.7,0,0,0,0,0,0
13,0,0,0,1,0.00535887,187742,0.996528,0.00506677,185799,1,0.00535446,183857,1,0.00639231,182562,0.75,0.0896678,135951,0.561151,0.00404268,100992,1,0.00510484,177383,1,0.00639274,176089,1,0.00637105,174794,0.384328,0.00225371,66680.6,0.383459,0.00173999,66033.2,1,0.0060411,169615,0.5,0.00278241,84160,0.5,0.00241367,83512.6,0.5,0.00179322,82865.2,1,0.00497765,163141,1,0.00674469,161846,1,0.00668264,160551,1,0.00760092,159257,0.905738,0.033644,143072,0.691667,0.112482,107466,1,0.00948409,154078,1,0.00620134,152783,0.405983,0.032631,61501.5,0,0,0,0,0,0,0.5,0.0031494,73154.5,0,0,0,0,0,0
14,0,0,0,1,0.00527891,188759,1,0.00497572,187557,0.993548,0.00538451,185152,1,0.0062897,183950,0.769737,0.0820639,140667,0.596026,0.00411238,108206,1,0.00507817,180343,1,0.00636468,177938,1,0.00633974,176736,0.35274,0.00225371,61917.7,0.351724,0.00173999,61316.6,0.993056,0.00608226,171927,0.5,0.00283217,85362.3,0.5,0.00235037,84761.1,0.5,0.00178228,84160,0.996403,0.00501666,166517,1,0.00654725,164713,1,0.00668949,163511,1,0.00725094,162309,0.91791,0.030364,147881,0.718045,0.0990793,114818,1,0.00909,157499,1,0.00619517,156297,0.414729,0.0291233,64322.3,0,0,0,0,0,0,0.5,0.00299485,75142.9,0,0,0,0,0,0
15,0,0,0,1,0.00519775,189641,1,0.00488014,188518,1,0.00541534,187396,0.993976,0.00617679,185152,0.786585,0.0757088,144755,0.625767,0.00413262,114458,1,0.00505123,181786,1,0.0061949,180663,1,0.00621075,178419,0.325949,0.00225371,57789.9,0.324841,0.00173999,57228.8,1,0.00609106,175053,0.5,0.00271866,86965.3,0.5,0.00229209,85843.2,0.5,0.00173221,85282.1,1,0.00499575,169442,1,0.00645098,168320,1,0.00660064,166076,1,0.00701613,164954,0.924658,0.0278299,151488,0.744828,0.0890113,121190,0.993056,0.00876752,160465,1,0.00615195,159343,0.421986,0.0263047,66766.9,0,0,0,0,0,0,0.5,0.00282722,76866.1,0,0,0,0,0,0
16,0,0,0,1,0.00519784,190412,1,0.00483401,189360,1,0.00563403,188308,1,0.00609384,187256,0.79661,0.0704312,148332,0.651429,0.00415894,119928,1,0.00503058,183048,1,0.00622992,181996,1,0.00672906,180944,0.302941,0.00225371,54178,0.301775,0.00173999,53652,1,0.00639955,176736,0.5,0.00271667,87842,0.496988,0.00229288,86790,0.5,0.00171051,86264,1,0.00501481,171476,1,0.00637328,170424,1,0.0065938,169372,1,0.00673462,167268,0.93038,0.0256518,154644,0.764331,0.0811377,126240,1,0.00852139,164112,0.996774,0.00605038,162534,0.428105,0.0240598,68906,0,0,0,0,0,0,0.5,0.0027416,78900,0,0,0,0,0,0
17,0,0,0,1,0.00515222,192083,1,0.0047766,190103,1,0.00566913,189112,1,0.00609617,188122,0.814815,0.0655785,152478,0.673797,0.00437899,124755,1,0.00499626,184162,1,0.0061942,183172,1,0.00671206,182182,0.281421,0.00225371,50991.1,0.281768,0.00173999,50496,1,0.00642068,178221,0.5,0.0026991,88615.5,0.5,0.00236333,88120.5,0.497175,0.00175585,87130.4,1,0.00494104,173271,1,0.00630193,172280,1,0.00669099,171290,1,0.00661458,170300,0.935294,0.0239669,157429,0.781065,0.0746039,130696,1,0.00833501,166340,1,0.00606708,165350,0.430723,0.0221799,70793.4,0,0,0,0,0,0,0.5,0.00267815,80199.5,0,0,0,0,0,0
18,0,0,0,1,0.00513453,192633,0.997561,0.0047229,191230,1,0.00568694,189828,1,0.00608741,188892,0.825871,0.0616597,155228,0.695,0.00440437,129980,1,0.00497163,185152,1,0.00609475,184217,1,0.00663171,183282,0.264103,0.00225371,48158.2,0.262887,0.00173999,47690.7,1,0.00637952,179541,0.5,0.00263546,89303.1,0.5,0.00232514,88835.6,0.5,0.00176521,88368,1,0.00489541,174866,1,0.00615327,173931,1,0.00653614,172996,1,0.00647878,172060,0.939891,0.0222848,160839,0.79558,0.0690841,134656,1,0.00807492,168320,1,0.0060521,167385,0.438202,0.0204747,72938.7,0,0,0,0,0,0,0.5,0.00256226,81354.7,0,0,0,0,0,0
19,0,0,0,1,0.00506832,193125,1,0.00469346,192239,0.99537,0.00571673,190467,1,0.00604316,189581,0.835681,0.0583072,157689,0.712264,0.00448006,133770,1,0.00495512,186924,1,0.00599731,185152,1,0.00652508,184266,0.248792,0.00225371,45623.6,0.247573,0.00173999,45180.6,0.997561,0.00641399,181165,0.5,0.00261052,89918.3,0.5,0.00237068,89475.4,0.5,0.00175862,89032.4,1,0.00483525,177179,1,0.00608254,175407,1,0.00650182,174521,1,0.00632941,173635,0.94359,0.0210133,163005,0.806701,0.0640958,138643,1,0.00784625,170092,1,0.00602142,169206,0.442105,0.0191219,74415.2,0,0,0,0,0,0,0.5,0.00254275,82388.2,0,0,0,0,0,0
20,0,0,0,1,0.00502518,193568,1,0.00465853,192726,1,0.00577176,191885,0.995595,0.00603239,190202,0.844444,0.0552483,159904,0.727679,0.00453187,137181,1,0.0049794,187677,1,0.00590773,186835,1,0.00650025,185152,0.23516,0.00225371,43342.4,0.233945,0.00173999,42921.6,1,0.00648431,182627,0.497685,0.0025924,90472,0.5,0.00235866,90051.2,0.5,0.00176655,89630.4,1,0.00474815,178419,1,0.00609813,177578,1,0.00649513,175894,1,0.00623689,175053,0.939614,0.019979,163691,0.820388,0.0599972,142230,0.997561,0.00779912,172107,1,0.00604229,170845,0.445545,0.0179532,75744,0,0,0,0,0,0,0.5,0.00256973,83318.4,0,0,0,0,0,0
