time,communication_mode,recovery_policy,effective_recovery_policy,action_type,executor_node_id,target_node_ids,result_state,decision_reason,scene_type,operation_mode
103.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
103.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
104.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
104.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
105.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
105.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
106.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
106.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
107.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
107.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
108.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
108.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
109.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
109.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
110.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
110.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
111.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
111.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
112.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
112.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
113.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
113.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
114.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
114.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
