FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,2415,0%
2,2,9,2415,2415,0%
3,3,4,2415,2415,0%
4,4,5,2414,2413,0.041425%
5,4,11,2364,1110,53.0457%
6,1,2,2414,2266,6.1309%
7,1,8,2414,1157,52.0713%
8,6,7,2413,2413,0%
9,6,13,2413,2388,1.03605%
10,3,10,2413,2413,0%
11,7,8,2412,2402,0.414594%
12,7,14,2412,2412,0%
13,8,9,2412,2392,0.829187%
14,9,10,2411,2411,0%
15,9,1,2408,2361,1.95183%
16,10,2,2410,2386,0.995851%
17,12,13,2409,2409,0%
18,12,4,2409,2409,0%
19,13,14,2409,2408,0.041511%
20,13,5,2409,2363,1.90951%
21,14,6,2408,2408,0%
22,11,12,2322,2175,6.33075%
23,5,6,2392,2359,1.3796%
24,5,12,2392,2341,2.13211%
25,10,11,2323,1128,51.4421%
26,11,3,2321,1098,52.6928%
27,0,7,2294,2294,0%
28,14,0,2290,2290,0%
29,8,0,2270,2252,0.792952%
30,0,1,2269,2250,0.837373%
