time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.8,3,0,24,12,14,-70.8834,11.2464
0.8,4,0,24,12,14,-71.0865,9.55474
0.8,5,2,20,12,14,-69.2843,10.616
0.8,6,1,23.5787,12,14,-70.6576,11.8394
0.8,7,2,24,12,14,-70.8203,10.4899
0.8,8,0,23.9233,12,14,-70.6467,11.7495
0.8,9,2,24,12,14,-71.0012,10.5527
0.8,10,1,23.8171,12,14,-70.8369,11.82
0.8,11,0,24,9,14,-69.6638,9.93916
0.8,12,2,24,12,14,-70.9112,10.5544
0.8,13,1,24,12,14,-70.9166,10.5942
0.8,14,0,24,12,14,-71.0732,10.3876
0.9,0,1,24,12,14,-71.2632,8.32961
0.9,1,1,21.4002,12,14,-69.0946,10.9778
0.9,2,2,24,12,14,-70.9194,11.155
0.9,3,0,24,12,14,-70.8754,11.2397
0.9,4,0,24,12,14,-71.0776,9.54801
0.9,5,2,20,12,14,-69.2766,10.6081
0.9,6,1,23.5787,12,14,-70.6501,11.8326
0.9,7,2,24,12,14,-70.8129,10.4832
0.9,8,0,23.9233,12,14,-70.6398,11.7428
0.9,9,2,24,12,14,-70.9919,10.546
0.9,10,1,23.8171,12,14,-70.8279,11.8133
0.9,11,0,24,9,14,-69.6571,9.9301
0.9,12,2,24,12,14,-70.9025,10.5477
0.9,13,1,24,12,14,-70.9081,10.5874
0.9,14,0,24,12,14,-71.0641,10.3808
1,0,1,24,12,14,-71.2541,8.32289
1,1,1,21.4002,12,14,-69.0861,10.9679
1,2,2,24,12,14,-70.911,11.1483
1,3,0,24,12,14,-70.8673,11.233
1,4,0,24,12,14,-71.0688,9.54129
1,5,2,20,12,14,-69.2688,10.6002
1,6,1,23.5787,12,14,-70.6426,11.8259
1,7,2,24,12,14,-70.8054,10.4764
1,8,0,23.9233,12,14,-70.6328,11.7361
1,9,2,24,12,14,-70.9826,10.5393
1,10,1,23.8171,12,14,-70.8189,11.8066
1,11,0,24,9,14,-69.6503,9.92103
1,12,2,24,12,14,-70.8937,10.5409
1,13,1,24,12,14,-70.8996,10.5807
1,14,0,24,12,14,-71.0549,10.374
1.1,0,1,26,18,14,-72.2641,11.0297
1.1,1,1,22.3664,18,14,-69.0775,11.9241
1.1,2,2,26,18,14,-71.8436,13.8551
1.1,3,0,25.9653,18,14,-71.7916,13.9051
1.1,4,0,26,18,14,-72.0386,12.2481
1.1,5,2,20.7352,18,14,-69.261,11.3275
1.1,6,1,25.1158,18,14,-70.6351,13.3563
1.1,7,2,26,18,14,-71.7234,13.1832
1.1,8,0,25.6102,18,14,-71.0817,13.7858
1.1,9,2,26,18,14,-71.934,13.2461
1.1,10,1,25.4338,18,14,-71.2818,13.7861
1.1,11,0,25.8298,12,14,-70.3594,12.7561
1.1,12,2,26,18,14,-71.8298,13.2477
1.1,13,1,26,18,14,-71.8353,13.2875
1.1,14,0,26,18,14,-72.0173,13.0807
1.2,0,1,26,18,14,-72.253,11.0221
1.2,1,1,22.3664,18,14,-69.0688,11.9141
1.2,2,2,26,18,14,-71.8336,13.8475
1.2,3,0,25.9653,18,14,-71.782,13.8975
1.2,4,0,26,18,14,-72.028,12.2405
1.2,5,2,20.7352,18,14,-69.2531,11.3195
1.2,6,1,25.1158,18,14,-70.6275,13.3496
1.2,7,2,26,18,14,-71.7146,13.1757
1.2,8,0,25.6102,18,14,-71.0735,13.7781
1.2,9,2,26,18,14,-71.9228,13.2385
1.2,10,1,25.4338,18,14,-71.2712,13.7784
1.2,11,0,25.8298,12,14,-70.3518,12.745
1.2,12,2,26,18,14,-71.8194,13.2402
1.2,13,1,26,18,14,-71.8251,13.2799
1.2,14,0,26,18,14,-72.0062,13.0731
1.3,0,1,26,18,14,-72.2419,11.0145
1.3,1,1,22.3664,18,14,-69.0602,11.9041
1.3,2,2,26,18,14,-71.8236,13.84
1.3,3,0,25.9653,18,14,-71.7725,13.8899
1.3,4,0,26,18,14,-72.0173,12.2329
1.3,5,2,20.7352,18,14,-69.2452,11.3116
1.3,6,1,25.1158,18,14,-70.6199,13.3428
1.3,7,2,26,18,14,-71.7057,13.1681
1.3,8,0,25.6102,18,14,-71.0652,13.7704
1.3,9,2,26,18,14,-71.9116,13.2309
1.3,10,1,25.4338,18,14,-71.2607,13.7707
1.3,11,0,25.8298,12,14,-70.3441,12.734
1.3,12,2,26,18,14,-71.8089,13.2326
1.3,13,1,26,18,14,-71.8149,13.2723
1.3,14,0,26,18,14,-71.9951,13.0654
1.4,0,1,26,18,14,-72.2308,11.0069
1.4,1,1,22.3664,18,14,-69.0515,11.8941
1.4,2,2,26,18,14,-71.8135,13.8324
1.4,3,0,25.9653,18,14,-71.7628,13.8823
1.4,4,0,26,18,14,-72.0066,12.2253
1.4,5,2,20.7352,18,14,-69.2373,11.3036
1.4,6,1,25.1158,18,14,-70.6123,13.3361
1.4,7,2,26,18,14,-71.6968,13.1605
1.4,8,0,25.6102,18,14,-71.0569,13.7627
1.4,9,2,26,18,14,-71.9003,13.2233
1.4,10,1,25.4338,18,14,-71.2501,13.763
1.4,11,0,25.8298,12,14,-70.3365,12.7229
1.4,12,2,26,18,14,-71.7984,13.225
1.4,13,1,26,18,14,-71.8046,13.2648
1.4,14,0,26,18,14,-71.9839,13.0578
1.5,0,1,26,18,14,-72.2197,10.9993
1.5,1,1,22.3664,18,14,-69.0428,11.884
1.5,2,2,26,18,14,-71.8034,13.8247
1.5,3,0,25.9653,18,14,-71.7532,13.8747
1.5,4,0,26,18,14,-71.9958,12.2177
1.5,5,2,20.7352,18,14,-69.2294,11.2956
1.5,6,1,25.1158,18,14,-70.6046,13.3293
1.5,7,2,26,18,14,-71.6878,13.1529
1.5,8,0,25.6102,18,14,-71.0486,13.755
1.5,9,2,26,18,14,-71.8891,13.2157
1.5,10,1,25.4338,18,14,-71.2394,13.7553
1.5,11,0,25.8298,12,14,-70.3289,12.7118
1.5,12,2,26,18,14,-71.7879,13.2174
1.5,13,1,26,18,14,-71.7943,13.2571
1.5,14,0,26,18,14,-71.9728,13.0501
1.6,0,1,28,24,14,-72.6958,13.3126
1.6,1,1,23.8116,24,14,-70.1638,14.6524
1.6,2,2,27.8828,24,14,-72.2357,16.0208
1.6,3,0,27.811,24,14,-72.1807,16.0337
1.6,4,0,28,24,14,-72.4489,14.531
1.6,5,2,22.1068,24,14,-69.2214,12.6591
1.6,6,1,26.7434,24,14,-71.8967,15.9804
1.6,7,2,28,24,14,-72.1111,15.4662
1.6,8,0,27.279,24,14,-71.8873,16.0815
1.6,9,2,28,24,14,-72.332,15.529
1.6,10,1,27.0534,24,14,-72.1161,16.0326
1.6,11,0,27.3055,18,14,-70.6433,14.6611
1.6,12,2,28,24,14,-72.2217,15.5307
1.6,13,1,28,24,14,-72.228,15.5704
1.6,14,0,28,24,14,-72.4222,15.3633
1.7,0,1,28,24,14,-72.6838,13.3047
1.7,1,1,23.8116,24,14,-70.1561,14.6431
1.7,2,2,27.8828,24,14,-72.225,16.0129
1.7,3,0,27.811,24,14,-72.1704,16.0258
1.7,4,0,28,24,14,-72.4374,14.5231
1.7,5,2,22.1068,24,14,-69.2134,12.6511
1.7,6,1,26.7434,24,14,-71.8872,15.9725
1.7,7,2,28,24,14,-72.1016,15.4583
1.7,8,0,27.279,24,14,-71.8785,16.0736
1.7,9,2,28,24,14,-72.3199,15.5211
1.7,10,1,27.0534,24,14,-72.1046,16.0247
1.7,11,0,27.3055,18,14,-70.6354,14.6492
1.7,12,2,28,24,14,-72.2104,15.5228
1.7,13,1,28,24,14,-72.217,15.5625
1.7,14,0,28,24,14,-72.4102,15.3553
1.8,0,1,28,24,14,-72.6717,13.2968
1.8,1,1,23.8116,24,14,-70.1485,14.6338
1.8,2,2,27.8828,24,14,-72.2141,16.005
1.8,3,0,27.811,24,14,-72.16,16.0178
1.8,4,0,28,24,14,-72.4258,14.5152
1.8,5,2,22.1068,24,14,-69.2053,12.643
1.8,6,1,26.7434,24,14,-71.8776,15.9645
1.8,7,2,28,24,14,-72.092,15.4503
1.8,8,0,27.279,24,14,-71.8697,16.0656
1.8,9,2,28,24,14,-72.3078,15.5132
1.8,10,1,27.0534,24,14,-72.093,16.0167
1.8,11,0,27.3055,18,14,-70.6274,14.6372
1.8,12,2,28,24,14,-72.1991,15.5148
1.8,13,1,28,24,14,-72.2059,15.5546
1.8,14,0,28,24,14,-72.3982,15.3473
1.9,0,1,28,24,14,-72.6596,13.2888
1.9,1,1,23.8116,24,14,-70.1407,14.6244
1.9,2,2,27.8828,24,14,-72.2032,15.997
1.9,3,0,27.811,24,14,-72.1496,16.0099
1.9,4,0,28,24,14,-72.4142,14.5072
1.9,5,2,22.1068,24,14,-69.1972,12.6349
1.9,6,1,26.7434,24,14,-71.868,15.9566
1.9,7,2,28,24,14,-72.0823,15.4424
1.9,8,0,27.279,24,14,-71.8608,16.0577
1.9,9,2,28,24,14,-72.2956,15.5052
1.9,10,1,27.0534,24,14,-72.0813,16.0088
1.9,11,0,27.3055,18,14,-70.6194,14.6251
1.9,12,2,28,24,14,-72.1878,15.5069
1.9,13,1,28,24,14,-72.1948,15.5466
1.9,14,0,28,24,14,-72.3861,15.3393
2,0,1,28,24,14,-72.6475,13.2808
2,1,1,23.8116,24,14,-70.133,14.615
2,2,2,27.8828,24,14,-72.1923,15.989
2,3,0,27.811,24,14,-72.1392,16.0018
2,4,0,28,24,14,-72.4025,14.4992
2,5,2,22.1068,24,14,-69.1891,12.6268
2,6,1,26.7434,24,14,-71.8584,15.9485
2,7,2,28,24,14,-72.0726,15.4343
2,8,0,27.279,24,14,-71.8518,16.0496
2,9,2,28,24,14,-72.2834,15.4972
2,10,1,27.0534,24,14,-72.0696,16.0007
2,11,0,27.3055,18,14,-70.6113,14.613
2,12,2,28,24,14,-72.1763,15.4988
2,13,1,28,24,14,-72.1836,15.5386
2,14,0,28,24,14,-72.374,15.3312
2.1,0,1,30,36,14,-72.6353,15.2727
2.1,1,1,25.7824,36,14,-70.9224,17.5719
2.1,2,2,29.8828,36,14,-72.1813,17.9809
2.1,3,0,29.811,36,14,-72.1286,17.9938
2.1,4,0,30,36,14,-72.3908,16.4911
2.1,5,2,23.724,24,14,-70.3516,15.2683
2.1,6,1,28.6417,36,14,-71.8486,17.8387
2.1,7,2,30,36,14,-72.0628,17.4263
2.1,8,0,29.1908,36,14,-71.8428,17.9535
2.1,9,2,30,36,14,-72.2711,17.4891
2.1,10,1,28.9382,36,14,-72.0579,17.8775
2.1,11,0,28.6984,24,14,-70.6032,15.9938
2.1,12,2,30,36,14,-72.1649,17.4908
2.1,13,1,30,36,14,-72.1724,17.5305
2.1,14,0,30,36,14,-72.3618,17.323
