FlowId,Src,Dest,Tx,Rx,LossRate
1,14,6,2620,2595,0.954198%
2,13,14,2653,2621,1.20618%
3,13,5,2620,2523,3.70229%
4,12,13,2620,2595,0.954198%
5,12,4,2620,2620,0%
6,11,12,2720,2690,1.10294%
7,11,3,2620,2602,0.687023%
8,10,11,2620,2557,2.40458%
9,10,2,2620,2620,0%
10,9,10,2620,2620,0%
11,9,1,2620,2555,2.48092%
12,8,9,2620,2618,0.0763359%
13,7,8,2620,2618,0.0763359%
14,7,14,2620,2586,1.29771%
15,6,7,2620,2619,0.0381679%
16,6,13,2620,2616,0.152672%
17,5,6,2620,2617,0.114504%
18,5,12,2620,2601,0.725191%
19,4,5,3320,3252,2.04819%
20,4,11,3287,1276,61.1804%
21,3,4,2620,2620,0%
22,3,10,2620,2620,0%
23,2,3,2620,2619,0.0381679%
24,2,9,2620,2618,0.0763359%
25,1,2,2620,2616,0.152672%
26,1,8,2620,2615,0.19084%
27,0,1,2540,2464,2.99213%
28,0,7,2540,2532,0.314961%
29,8,0,2494,2488,0.240577%
30,14,0,2505,2504,0.0399202%
