time_s,nodeId,x,y,z
13,4,4.026,0.055,-0.17
13,5,5.045,0.067,0.05
13,6,5.994,0.1,0.29
13,7,6.615,0.466,-1.21
13,8,7.714,-0.155,-3.02
13,9,1.064,6.082,-6.46
13,10,1.046,-0.366,-0.35
13,11,1.091,1.565,1.19
13,12,2.722,0.377,2.3
13,13,2.43,0.61,-6.19
13,14,3.981,1.043,0.02
14,0,-0.003333,0,0.00778
14,1,1.00464,0.011,0.03
14,2,2.00776,0.050693,-1.79783
14,3,2.988,0.067,0.03
14,4,4.026,0.055,-0.17
14,5,5.045,0.067,0.05
14,6,5.994,0.1,0.29
14,7,6.615,0.466,-1.21
14,8,7.714,-0.155,-3.02
14,9,1.064,6.082,-6.46
14,10,1.046,-0.366,-0.35
14,11,1.091,1.565,1.19
14,12,2.722,0.377,2.3
14,13,2.43,0.61,-6.19
14,14,3.981,1.043,0.02
15,0,-0.000333,0,0.02778
15,1,1.00764,0.011,0.03
15,2,2.00176,0.0583597,-1.84116
15,3,2.988,0.067,0.03
15,4,4.026,0.055,-0.17
15,5,5.045,0.067,0.05
15,6,5.994,0.1,0.29
15,7,6.615,0.466,-1.21
15,8,7.714,-0.155,-3.02
15,9,1.064,6.082,-6.46
15,10,1.046,-0.366,-0.35
15,11,1.091,1.565,1.19
15,12,2.722,0.377,2.3
15,13,2.43,0.61,-6.19
15,14,3.981,1.043,0.02
16,0,0,0.00325967,0.0270367
16,1,1.01064,0.011,0.03
16,2,1.99576,0.0660263,-1.8845
16,3,2.988,0.067,0.03
16,4,4.026,0.055,-0.17
16,5,5.045,0.067,0.05
16,6,5.994,0.1,0.29
16,7,6.615,0.466,-1.21
16,8,7.714,-0.155,-3.02
16,9,1.064,6.082,-6.46
16,10,1.046,-0.366,-0.35
16,11,1.091,1.565,1.19
16,12,2.722,0.377,2.3
16,13,2.43,0.61,-6.19
16,14,3.981,1.043,0.02
17,0,0,0.00692633,0.0237033
17,1,1.00836,0.0142267,0.03
17,2,1.98976,0.067,-1.31673
17,3,2.988,0.067,0.03
17,4,4.026,0.055,-0.17
17,5,5.045,0.067,0.05
17,6,5.994,0.1,0.29
17,7,6.615,0.466,-1.21
17,8,7.714,-0.155,-3.02
17,9,1.064,6.082,-6.46
17,10,1.046,-0.366,-0.35
17,11,1.091,1.565,1.19
17,12,2.722,0.377,2.3
17,13,2.43,0.61,-6.19
17,14,3.981,1.043,0.02
18,0,0,0.010593,0.02037
18,1,1.00536,0.0178933,0.03
18,2,1.98376,0.067,-0.660063
18,3,2.988,0.067,0.03
18,4,4.026,0.055,-0.17
18,5,5.045,0.067,0.05
18,6,5.994,0.1,0.29
18,7,6.615,0.466,-1.21
18,8,7.714,-0.155,-3.02
18,9,1.064,6.082,-6.46
18,10,1.046,-0.366,-0.35
18,11,1.091,1.565,1.19
18,12,2.722,0.377,2.3
18,13,2.43,0.61,-6.19
18,14,3.981,1.043,0.02
19,0,0,0.011,0.0170357
19,1,1.00236,0.02156,0.03
19,2,1.97776,0.067,-0.00339667
19,3,2.988,0.067,0.03
19,4,4.026,0.055,-0.17
19,5,5.045,0.067,0.05
19,6,5.994,0.1,0.29
19,7,6.615,0.466,-1.21
19,8,7.714,-0.155,-3.02
19,9,1.064,6.082,-6.46
19,10,1.046,-0.366,-0.35
19,11,1.091,1.565,1.19
19,12,2.722,0.377,2.3
19,13,2.43,0.61,-6.19
19,14,3.981,1.043,0.02
20,0,0,0.011,0.0137012
20,1,1.002,0.022,0.0329333
20,2,1.977,0.067,0.06254
20,3,2.988,0.067,0.03
20,4,4.026,0.055,-0.17
20,5,5.045,0.067,0.05
20,6,5.994,0.1,0.29
20,7,6.615,0.466,-1.21
20,8,7.714,-0.155,-3.02
20,9,1.064,6.082,-6.46
20,10,1.046,-0.366,-0.35
20,11,1.091,1.565,1.19
20,12,2.722,0.377,2.3
20,13,2.43,0.61,-6.19
20,14,3.981,1.043,0.02
21,0,0,0.011,0.0103668
21,1,1.002,0.022,0.0362667
21,2,1.977,0.067,0.04254
21,3,2.988,0.067,0.03
21,4,4.026,0.055,-0.17
21,5,5.045,0.067,0.05
21,6,5.994,0.1,0.29
21,7,6.615,0.466,-1.21
21,8,7.714,-0.155,-3.02
21,9,1.064,6.082,-6.46
21,10,1.046,-0.366,-0.35
