FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
19528,10.0.0.10,10.0.0.13,8,8,0,0,68328.8,0.00133601
19529,10.0.0.6,10.0.0.8,15,15,0,0,1.03901e+06,0.0027951
19530,10.0.0.8,10.0.0.6,8,8,0,0,68341.3,0.001336
19531,10.0.0.3,10.0.0.1,15,15,0,0,1.03741e+06,0.0028481
19532,10.0.0.1,10.0.0.3,8,8,0,0,68328.8,0.001336
19533,10.0.0.2,10.0.0.8,15,15,0,0,1.03831e+06,0.00279827
19534,10.0.0.8,10.0.0.2,8,8,0,0,68341.3,0.00133601
19535,10.0.0.2,10.0.0.9,15,15,0,0,1.03781e+06,0.00292716
19536,10.0.0.9,10.0.0.2,8,8,0,0,68341.3,0.001336
19537,10.0.0.8,10.0.0.11,15,15,0,0,1.03886e+06,0.00287233
19538,10.0.0.11,10.0.0.8,8,8,0,0,68341.3,0.00133601
19539,10.0.0.9,10.0.0.4,15,15,0,0,1.03778e+06,0.00290516
19540,10.0.0.4,10.0.0.9,8,8,0,0,68328.2,0.00133614
19541,10.0.0.10,10.0.0.11,15,15,0,0,1.03675e+06,0.00289341
19542,10.0.0.11,10.0.0.10,8,8,0,0,68341.3,0.00133601
19543,10.0.0.7,10.0.0.15,15,15,0,0,1.03633e+06,0.00301447
19544,10.0.0.15,10.0.0.7,8,8,0,0,68341.3,0.00133601
19545,10.0.0.3,10.0.0.2,15,15,0,0,1.03893e+06,0.00284736
19546,10.0.0.2,10.0.0.3,8,8,0,0,68341.3,0.001336
19547,10.0.0.13,10.0.0.14,15,15,0,0,1.03729e+06,0.00297636
19548,10.0.0.14,10.0.0.13,8,8,0,0,68341.3,0.001336
19549,10.0.0.14,10.0.0.8,15,15,0,0,1.03885e+06,0.00277453
19550,10.0.0.8,10.0.0.14,8,8,0,0,68341.3,0.00133601
19551,10.0.0.9,10.0.0.1,14,14,0,0,946337,0.00894457
19552,10.0.0.1,10.0.0.9,7,7,0,0,68704.7,0.00127701
19553,10.0.0.9,10.0.0.13,14,14,0,0,944466,0.0100676
19554,10.0.0.13,10.0.0.9,7,7,0,0,70254.1,0.00126801
19555,10.0.0.13,10.0.0.15,15,15,0,0,1.03725e+06,0.00285454
19556,10.0.0.15,10.0.0.13,8,8,0,0,68341.3,0.001336
19557,10.0.0.13,10.0.0.14,15,15,0,0,1.03637e+06,0.00301954
19558,10.0.0.14,10.0.0.13,8,8,0,0,68341.3,0.001336
19559,10.0.0.5,10.0.0.1,15,15,0,0,1.0387e+06,0.00289654
19560,10.0.0.1,10.0.0.5,8,8,0,0,68328.8,0.001336
19561,10.0.0.2,10.0.0.8,15,15,0,0,1.038e+06,0.00285472
19562,10.0.0.8,10.0.0.2,8,8,0,0,68341.3,0.00133601
19563,10.0.0.13,10.0.0.12,14,14,0,0,947447,0.0070646
19564,10.0.0.12,10.0.0.13,7,7,0,0,65736.3,0.001169
19565,10.0.0.14,10.0.0.12,15,15,0,0,1.0366e+06,0.0029526
19566,10.0.0.12,10.0.0.14,8,8,0,0,68341.3,0.001336
19567,10.0.0.6,10.0.0.5,15,15,0,0,1.0375e+06,0.00294778
19568,10.0.0.5,10.0.0.6,8,8,0,0,68341.3,0.00133601
19569,10.0.0.2,10.0.0.5,15,15,0,0,1.03888e+06,0.00277066
19570,10.0.0.5,10.0.0.2,8,8,0,0,68328.8,0.001336
19571,10.0.0.10,10.0.0.15,15,15,0,0,1.03681e+06,0.00299583
19572,10.0.0.15,10.0.0.10,8,8,0,0,68328.8,0.00133601
19573,10.0.0.14,10.0.0.3,15,15,0,0,1.0363e+06,0.00291789
19574,10.0.0.3,10.0.0.14,8,8,0,0,68341.3,0.00133601
19575,10.0.0.8,10.0.0.1,15,15,0,0,1.0389e+06,0.00289478
19576,10.0.0.1,10.0.0.8,8,8,0,0,68328.8,0.001336
19577,10.0.0.13,10.0.0.5,15,15,0,0,1.03817e+06,0.00284795
19578,10.0.0.5,10.0.0.13,8,8,0,0,68341.3,0.00133601
