FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,12,0,100%
2,0,7,12,0,100%
3,1,2,10,0,100%
4,1,8,10,0,100%
5,2,3,9,9,0%
6,2,9,9,9,0%
7,3,4,8,0,100%
8,3,10,8,0,100%
9,4,5,7,0,100%
10,4,11,7,7,0%
11,5,6,6,0,100%
12,5,12,6,6,0%
13,6,7,4,0,100%
14,6,13,4,0,100%
15,7,8,3,0,100%
16,7,14,3,0,100%
17,8,9,2,2,0%
18,8,0,2,2,0%
19,9,10,1,0,100%
20,9,1,1,0,100%
