FlowId,Src,Dest,Tx,Rx,LossRate
1,1,2,1076,836,22.3048%
2,3,4,1052,657,37.5475%
3,0,1,1075,990,7.90698%
4,11,3,976,572,41.3934%
5,13,5,860,569,33.8372%
6,9,1,915,116,87.3224%
7,0,7,1021,571,44.0744%
8,2,3,1052,764,27.3764%
9,2,9,929,427,54.0366%
10,4,5,1023,332,67.5464%
11,8,0,1050,417,60.2857%
12,12,4,1026,181,82.3587%
13,14,6,994,206,79.2757%
14,1,8,1050,536,48.9524%
15,10,2,950,475,50%
16,3,10,933,345,63.0225%
17,5,6,853,0,100%
18,9,10,703,50,92.8876%
19,7,8,803,189,76.4633%
20,14,0,811,28,96.5475%
21,4,11,661,80,87.8971%
22,6,7,675,60,91.1111%
23,8,9,550,187,66%
24,10,11,400,1,99.75%
25,6,13,495,39,92.1212%
26,7,14,254,26,89.7638%
27,13,14,235,33,85.9574%
28,5,12,558,116,79.2115%
29,11,12,294,27,90.8163%
30,12,13,347,19,94.5245%
