time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
8.2,0,0.00151,0,0,0,0,0.608696,0.0032339,58912,1,0.00612831,96784,1.04348,0.0076244,100992,1,0.00356306,96784,1,0.00364651,100992,1,0.00548319,193568,0,0,0,0.291667,0.0787729,29456,1,0.00315743,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.3,0,0.00151,0,0,0,0,0.565217,0.0033665,54704,0.958333,0.00612602,96784,1,0.0072727,96784,1,0.00359085,96784,1,0.00359532,96784,1,0.00553543,193568,0,0,0,0.347826,0.0692859,33664,1,0.003099,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.4,0,0.00151,0,0,0,0,0.521739,0.00349425,50496,0.913043,0.00628253,88368,1,0.0069371,96784,1,0.00323179,100992,1,0.00374492,96784,1,0.00511684,193568,0,0,0,0.391304,0.0617552,37872,1,0.00303273,100992,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0.00151,0,0,0,0,0.458333,0.00358686,46288,0.869565,0.00652116,84160,1,0.00719831,96784,1,0.0032953,96784,1,0.00400078,96784,1,0.00525675,201984,0,0,0,0.434783,0.0563024,42080,1,0.00306643,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.6,0,0.00151,0,0,0,0,0.391304,0.00352605,37872,0.826087,0.00606926,79952,1,0.00522783,100992,1,0.00327219,96784,1,0.00332134,96784,1,0.00549978,193568,0,0,0,0.5,0.0472133,50496,1,0.00343275,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.7,0,0.00151,0,0,0,0,0.347826,0.00377806,33664,0.782609,0.00601029,75744,1,0.0054004,96784,1,0.00325447,96784,1,0.00324587,100992,1,0.0058373,193568,0,0,0,0.565217,0.0438778,54704,1,0.00348381,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.8,0.0416667,0.00151,4208,0,0,0,0.304348,0.00410206,29456,0.75,0.0068699,75744,1,0.00599964,96784,1,0.00325447,96784,1,0.00300425,96784,1,0.00581876,193568,0,0,0,0.608696,0.0414114,58912,1,0.00350503,96784,0,0,0,0,0,0,0,0,0,0,0,0
8.9,0.130435,0.00493387,12624,0,0,0,0.25,0.00453407,25248,0.73913,0.0071319,71536,1,0.00587689,96784,1,0.00324997,100992,1,0.00351343,96784,1,0.00589352,193568,0,0,0,0.652174,0.0388893,63120,1,0.00423228,100992,0,0,0,0,0,0,0,0,0,0,0,0
9,0.173913,0.00811139,16832,0,0,0,0.173913,0.00414941,16832,0.73913,0.00743755,71536,0.958333,0.00504154,96784,1,0.00382471,96784,1,0.00383256,96784,1,0.00587268,201984,0,0,0,0.695652,0.0377782,67328,1,0.00459258,96784,0,0,0,0,0,0,0,0,0,0,0,0
9.1,0.217391,0.00679112,21040,0,0,0,0.130435,0.00413728,12624,0.73913,0.00733313,71536,1,0.0056938,96784,1,0.00369941,96784,0.958333,0.00390414,96784,1,0.00579429,193568,0,0,0,0.75,0.0343414,75744,1,0.00515575,96784,0,0,0,0,0,0,0,0,0,0,0,0
