FlowId,Src,Dest,Tx,Rx,LossRate
1,10,11,4538,457,89.9295%
2,8,9,4745,48,98.9884%
3,5,12,5087,472,90.7214%
4,14,0,5377,74,98.6238%
5,13,5,4374,552,87.38%
6,4,5,4998,1027,79.4518%
7,0,1,5404,1404,74.0192%
8,9,1,4788,21,99.5614%
9,2,3,5496,1512,72.4891%
10,1,2,5295,192,96.3739%
11,6,7,3711,277,92.5357%
12,0,7,4162,54,98.7025%
13,8,0,5086,509,89.9921%
14,7,14,3751,146,96.1077%
15,12,4,4445,56,98.7402%
16,11,12,4339,6,99.8617%
17,10,2,4962,228,95.4051%
18,6,13,4570,71,98.4464%
19,5,6,5222,99,98.1042%
20,3,4,5035,123,97.5571%
21,14,6,5182,1108,78.6183%
22,12,13,4700,73,98.4468%
23,9,10,4317,56,98.7028%
24,4,11,4888,388,92.0622%
25,3,10,4398,71,98.3856%
26,2,9,4518,82,98.185%
27,1,8,4801,89,98.1462%
28,7,8,3957,899,77.2808%
29,11,3,4484,36,99.1971%
30,13,14,4278,24,99.439%
