time,failure_type,target_node_id,is_leader_target,failure_state,communication_mode,recovery_policy,scene_type,operation_mode
80,node_failure,7,false,activated,hybrid,global_recovery,urban,cooperative
120,node_failure,7,false,cleared,hybrid,global_recovery,urban,cooperative
