FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
6624,10.0.0.11,10.0.0.6,8,8,0,0,68341.1,0.00133604
6625,10.0.0.13,10.0.0.14,15,15,0,0,1.03731e+06,0.00290312
6626,10.0.0.14,10.0.0.13,8,8,0,0,68341.2,0.00133602
6627,10.0.0.9,10.0.0.10,15,15,0,0,1.03628e+06,0.00298315
6628,10.0.0.10,10.0.0.9,8,8,0,0,68341.2,0.00133602
6629,10.0.0.13,10.0.0.9,15,15,0,0,1.03906e+06,0.00276385
6630,10.0.0.9,10.0.0.13,8,8,0,0,68340.9,0.00133609
6631,10.0.0.10,10.0.0.4,13,13,0,0,854587,0.0118536
6632,10.0.0.4,10.0.0.10,7,7,0,0,73990.3,0.001196
6633,10.0.0.12,10.0.0.10,15,15,0,0,1.03807e+06,0.00282216
6634,10.0.0.10,10.0.0.12,8,8,0,0,68341,0.00133607
6635,10.0.0.7,10.0.0.1,15,15,0,0,1.03813e+06,0.00290547
6636,10.0.0.1,10.0.0.7,8,8,0,0,68328.7,0.00133602
6637,10.0.0.5,10.0.0.11,15,15,0,0,1.03266e+06,0.00653513
6638,10.0.0.11,10.0.0.5,8,8,0,0,73005.2,0.00137204
6639,10.0.0.2,10.0.0.10,15,15,0,0,1.03901e+06,0.00284926
6640,10.0.0.10,10.0.0.2,8,8,0,0,68341.1,0.00133603
6641,10.0.0.14,10.0.0.10,15,15,0,0,1.03805e+06,0.00294142
6642,10.0.0.10,10.0.0.14,8,8,0,0,68340.7,0.00133612
6643,10.0.0.2,10.0.0.1,15,15,0,0,1.03801e+06,0.0028634
6644,10.0.0.1,10.0.0.2,8,8,0,0,68341.1,0.00133603
6645,10.0.0.11,10.0.0.4,15,15,0,0,1.03717e+06,0.00290781
6646,10.0.0.4,10.0.0.11,8,8,0,0,68341.1,0.00133604
6647,10.0.0.12,10.0.0.3,15,15,0,0,1.03878e+06,0.00278181
6648,10.0.0.3,10.0.0.12,8,8,0,0,68341,0.00133607
6649,10.0.0.12,10.0.0.11,15,15,0,0,1.03726e+06,0.00288031
6650,10.0.0.11,10.0.0.12,8,8,0,0,68341.2,0.00133602
6651,10.0.0.5,10.0.0.14,15,15,0,0,1.03868e+06,0.00278257
6652,10.0.0.14,10.0.0.5,8,8,0,0,68340.7,0.00133612
6653,10.0.0.3,10.0.0.14,15,15,0,0,1.03878e+06,0.00289065
6654,10.0.0.14,10.0.0.3,8,8,0,0,68340.7,0.00133613
6655,10.0.0.1,10.0.0.15,15,15,0,0,1.0383e+06,0.00290878
6656,10.0.0.15,10.0.0.1,8,8,0,0,68340.7,0.00133614
6657,10.0.0.5,10.0.0.1,15,15,0,0,1.03717e+06,0.00287121
6658,10.0.0.1,10.0.0.5,8,8,0,0,68341.2,0.00133602
6659,10.0.0.7,10.0.0.13,15,15,0,0,1.03897e+06,0.00288106
6660,10.0.0.13,10.0.0.7,8,8,0,0,68340.8,0.0013361
6661,10.0.0.10,10.0.0.11,15,15,0,0,1.03666e+06,0.00291157
6662,10.0.0.11,10.0.0.10,8,8,0,0,68341.1,0.00133604
6663,10.0.0.12,10.0.0.9,15,15,0,0,1.03634e+06,0.00300538
6664,10.0.0.9,10.0.0.12,8,8,0,0,68341,0.00133606
6665,10.0.0.15,10.0.0.9,15,15,0,0,1.03813e+06,0.00291644
6666,10.0.0.9,10.0.0.15,8,8,0,0,68328.2,0.00133614
6667,10.0.0.11,10.0.0.10,15,15,0,0,1.0388e+06,0.00282436
6668,10.0.0.10,10.0.0.11,8,8,0,0,68341.1,0.00133604
6669,10.0.0.14,10.0.0.2,15,15,0,0,1.03248e+06,0.00659829
6670,10.0.0.2,10.0.0.14,8,8,0,0,72990.5,0.00135411
6671,10.0.0.12,10.0.0.8,15,15,0,0,1.03906e+06,0.00283591
6672,10.0.0.8,10.0.0.12,8,8,0,0,68341,0.00133606
6673,10.0.0.7,10.0.0.10,15,15,0,0,1.0386e+06,0.0029151
6674,10.0.0.10,10.0.0.7,8,8,0,0,68341.3,0.001336
6675,10.0.0.2,10.0.0.1,15,15,0,0,1.03809e+06,0.0028468
6676,10.0.0.1,10.0.0.2,8,8,0,0,68341.1,0.00133603
6677,10.0.0.5,10.0.0.3,15,15,0,0,1.03796e+06,0.00286752
6678,10.0.0.3,10.0.0.5,8,8,0,0,68328.8,0.00133601
6679,10.0.0.2,10.0.0.1,15,15,0,0,1.03863e+06,0.00285811
6680,10.0.0.1,10.0.0.2,8,8,0,0,68341.1,0.00133603
6681,10.0.0.3,10.0.0.6,15,15,0,0,1.03624e+06,0.003005
6682,10.0.0.6,10.0.0.3,8,8,0,0,68328.7,0.00133602
6683,10.0.0.2,10.0.0.7,15,15,0,0,1.03762e+06,0.00283747
6684,10.0.0.7,10.0.0.2,8,8,0,0,68341.1,0.00133603
6685,10.0.0.8,10.0.0.1,13,13,0,0,854763,0.0108433
6686,10.0.0.1,10.0.0.8,7,7,0,0,72209.9,0.00116901
6687,10.0.0.6,10.0.0.3,15,15,0,0,1.03663e+06,0.00294047
6688,10.0.0.3,10.0.0.6,8,8,0,0,68328.7,0.00133602
6689,10.0.0.5,10.0.0.10,13,13,0,0,855575,0.0108302
6690,10.0.0.10,10.0.0.5,7,7,0,0,72225.9,0.001169
6691,10.0.0.6,10.0.0.3,15,15,0,0,1.03686e+06,0.00288259
6692,10.0.0.3,10.0.0.6,8,8,0,0,68341.2,0.00133602
6693,10.0.0.11,10.0.0.10,15,15,0,0,1.0381e+06,0.00289071
6694,10.0.0.10,10.0.0.11,8,8,0,0,68341.2,0.00133602
6695,10.0.0.10,10.0.0.11,15,15,0,0,1.03892e+06,0.00283083
6696,10.0.0.11,10.0.0.10,8,8,0,0,68328.7,0.00133602
6697,10.0.0.1,10.0.0.2,15,15,0,0,1.03661e+06,0.0029523
6698,10.0.0.2,10.0.0.1,8,8,0,0,68341.1,0.00133603
6699,10.0.0.11,10.0.0.10,15,15,0,0,1.03709e+06,0.00287919
6700,10.0.0.10,10.0.0.11,8,8,0,0,68341.2,0.00133602
6701,10.0.0.14,10.0.0.15,15,15,0,0,1.03658e+06,0.00425952
6702,10.0.0.15,10.0.0.14,8,8,0,0,70310.4,0.00133602
6703,10.0.0.8,10.0.0.2,15,15,0,0,1.03702e+06,0.0028679
6704,10.0.0.2,10.0.0.8,8,8,0,0,68328.6,0.00133603
6705,10.0.0.11,10.0.0.15,15,15,0,0,1.03839e+06,0.00292739
6706,10.0.0.15,10.0.0.11,8,8,0,0,68340.7,0.00133614
6707,10.0.0.6,10.0.0.5,15,15,0,0,1.03906e+06,0.00279882
6708,10.0.0.5,10.0.0.6,8,8,0,0,68341.2,0.00133602
6709,10.0.0.13,10.0.0.11,15,15,0,0,1.03853e+06,0.00281451
6710,10.0.0.11,10.0.0.13,8,8,0,0,68328.4,0.00133609
6711,10.0.0.2,10.0.0.9,14,14,0,0,946222,0.0100909
6712,10.0.0.9,10.0.0.2,7,7,0,0,70450.7,0.00116903
6713,10.0.0.5,10.0.0.14,15,15,0,0,1.03898e+06,0.00289809
6714,10.0.0.14,10.0.0.5,8,8,0,0,68340.7,0.00133612
