FlowId,Src,Dest,Tx,Rx,LossRate
1,14,6,2411,2035,15.5952%
2,11,12,2620,2618,0.0763359%
3,11,3,1478,1449,1.96211%
4,10,2,1208,1048,13.245%
5,9,10,2673,1320,50.6173%
6,9,1,938,231,75.3731%
7,8,9,2987,2060,31.0345%
8,8,0,1628,340,79.1155%
9,5,6,2955,1956,33.8071%
10,5,12,1989,1422,28.5068%
11,2,9,1848,527,71.4827%
12,1,2,1670,860,48.503%
13,0,1,1814,735,59.4818%
14,0,7,1690,618,63.432%
15,1,8,911,157,82.7662%
16,7,8,2780,2177,21.6906%
17,12,13,2144,1740,18.8433%
18,12,4,1824,1118,38.7061%
19,6,7,2256,1697,24.7784%
20,6,13,1525,967,36.5902%
21,3,4,2536,2323,8.39905%
22,3,10,1085,866,20.1843%
23,14,0,2457,707,71.2251%
24,2,3,2664,2654,0.375375%
25,4,5,2417,2200,8.97807%
26,4,11,1678,1275,24.0167%
27,13,5,1093,982,10.1555%
28,7,14,1375,1210,12%
29,13,14,1696,1691,0.294811%
30,10,11,1519,1517,0.131666%
