time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
53,14,0,15,5,none,0.382803
58,0,14,15,5,none,0.4
58,1,13,15,3,none,0.07896
58,2,12,15,3,none,0.0781184
58,3,11,15,3,none,0.0781184
58,4,10,15,3,none,0.0671776
58,5,9,15,3,none,0.0461376
58,6,8,15,5,none,0.4
58,7,7,15,3,none,0.0781184
58,8,6,15,4,none,0.279747
58,9,5,15,5,none,0.4
58,10,4,15,5,none,0.4
58,11,3,15,3,none,0.0697024
58,12,2,15,5,none,0.499243
58,13,1,15,5,none,0.4
58,14,0,15,5,none,0.45039
63,0,14,15,3,none,0.1
63,1,13,15,6,none,0.670634
63,2,12,15,3,none,0.185183
63,3,11,15,3,none,0.0781184
63,4,10,15,3,none,0.0671776
63,5,9,15,3,none,0.0697024
63,6,8,15,4,none,0.246451
63,7,7,15,5,none,0.491674
63,8,6,15,4,none,0.4
63,9,5,15,5,none,0.6
63,10,4,15,4,none,0.4
63,11,3,15,3,none,0.0671776
63,12,2,15,4,none,0.349883
63,13,1,15,4,none,0.4
63,14,0,15,4,none,0.374123
68,0,14,15,5,none,0.454499
68,1,13,15,6,none,0.55452
68,2,12,15,4,none,0.207065
68,3,11,15,3,none,0.0798016
68,4,10,15,3,none,0.0730688
68,5,9,15,4,none,0.207141
68,6,8,15,4,none,0.214651
68,7,7,15,3,none,0.0520288
68,8,6,15,4,none,0.194073
68,9,5,15,5,none,0.344779
68,10,4,15,5,none,0.4
68,11,3,15,3,none,0.0671776
68,12,2,15,3,none,0.0781184
68,13,1,15,5,none,0.4
68,14,0,15,5,none,0.404034
73,0,14,15,4,none,0.249504
73,1,13,15,3,none,0.0781184
73,2,12,15,4,none,0.232924
73,3,11,15,3,none,0.0781184
73,4,10,15,3,none,0.0713856
73,5,9,15,3,none,0.0562368
73,6,8,15,3,none,0.0781184
73,7,7,15,6,none,0.47905
73,8,6,15,3,none,0.1
73,9,5,15,4,none,0.279802
73,10,4,15,5,none,0.4
73,11,3,15,3,none,0.0671776
73,12,2,15,3,none,0.0899008
73,13,1,15,5,none,0.4
73,14,0,15,6,none,0.519286
78,0,14,15,5,none,0.299639
78,1,13,15,6,none,0.539874
78,2,12,15,5,none,0.366354
78,3,11,15,3,none,0.0781184
78,4,10,15,3,none,0.0671776
78,5,9,15,3,none,0.0688608
78,6,8,15,4,none,0.187146
78,7,7,15,5,none,0.431125
78,8,6,15,3,none,0.0722272
78,9,5,15,3,none,0.0814848
78,10,4,15,5,none,0.4
78,11,3,15,3,none,0.0646528
78,12,2,15,3,none,0.0671776
78,13,1,15,3,none,0.045296
78,14,0,15,4,none,0.287015
83,0,14,15,3,none,0.0562368
83,1,13,15,5,none,0.370217
83,2,12,15,3,none,0.049504
83,3,11,15,3,none,0.0798016
83,4,10,15,3,none,0.0697024
83,5,9,15,3,none,0.0671776
83,6,8,15,3,none,0.0562368
83,7,7,15,5,none,0.462218
83,8,6,15,5,none,0.4
83,9,5,15,7,none,0.73581
83,10,4,15,5,none,0.4
83,11,3,15,3,none,0.0680192
83,12,2,15,3,none,0.0973524
83,13,1,15,3,none,0.0671776
83,14,0,15,5,none,0.4
88,0,14,15,5,none,0.4
88,1,13,15,5,none,0.4
88,2,12,15,3,none,0.070544
88,3,11,15,3,none,0.0781184
88,4,10,15,4,none,0.185183
88,5,9,15,5,none,0.4
88,6,8,15,4,none,0.360845
88,7,7,15,3,none,0.0974133
88,8,6,15,5,none,0.435195
88,9,5,15,5,none,0.4
88,10,4,15,5,none,0.4
88,11,3,15,3,none,0.0697024
88,12,2,15,4,none,0.230782
88,13,1,15,3,none,0.0697024
