FlowId,Src,Dest,Tx,Rx,LossRate
1,10,2,591,298,49.577%
2,9,1,726,497,31.5427%
3,7,8,1286,883,31.3375%
4,7,14,1413,753,46.7091%
5,6,13,1022,587,42.5636%
6,5,12,1891,1276,32.5225%
7,4,11,752,459,38.9628%
8,3,10,938,516,44.9893%
9,2,3,867,331,61.8224%
10,0,1,1647,1146,30.4189%
11,2,9,542,126,76.7528%
12,13,14,1597,1010,36.7564%
13,13,5,959,627,34.6194%
14,1,2,674,132,80.4154%
15,9,10,583,252,56.7753%
16,6,7,1103,221,79.9637%
17,4,5,1145,340,70.3057%
18,12,13,1854,1299,29.9353%
19,8,9,527,34,93.5484%
20,8,0,369,32,91.3279%
21,14,6,677,298,55.9823%
22,5,6,1171,266,77.2844%
23,14,0,273,28,89.7436%
24,12,4,644,305,52.6398%
25,3,4,366,217,40.7104%
26,11,12,661,234,64.5991%
27,11,3,196,150,23.4694%
28,10,11,184,124,32.6087%
29,0,7,188,56,70.2128%
30,1,8,139,36,74.1007%
