time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.8,0,0,18,12,14,-69.9891,14.1169
0.8,1,2,17.7141,12,14,-69.9743,15.5207
0.8,2,0,18,12,14,-69.9366,14.8181
0.8,3,1,19,12,14,-69.9271,14.3819
0.8,4,2,20,12,14,-69.7863,11.929
0.8,5,0,17.9968,12,14,-69.557,15.0003
0.8,6,0,17.4841,12,14,-69.8373,15.6921
0.8,7,2,20,12,14,-69.7244,13.748
0.8,8,2,21.3776,12,14,-69.8654,11.0126
0.8,9,1,20,12,14,-69.7953,12.6741
0.8,10,1,17.9582,12,14,-69.7744,15.0903
0.8,11,0,21.2782,12,14,-69.7262,11.052
0.8,12,2,17.3362,12,14,-69.7496,15.8022
0.8,13,1,20,12,14,-69.9348,12.7368
0.8,14,0,19,12,14,-69.5311,14.7929
0.9,0,0,18,12,14,-69.985,14.1146
0.9,1,2,17.7141,12,14,-69.9705,15.5194
0.9,2,0,18,12,14,-69.9332,14.8119
0.9,3,1,19,12,14,-69.9241,14.3756
0.9,4,2,20,12,14,-69.7808,11.9278
0.9,5,0,17.9968,12,14,-69.5538,14.999
0.9,6,0,17.4841,12,14,-69.8334,15.6908
0.9,7,2,20,12,14,-69.7223,13.7417
0.9,8,2,21.3776,12,14,-69.8641,11.0064
0.9,9,1,20,12,14,-69.7928,12.6679
0.9,10,1,17.9582,12,14,-69.7706,15.089
0.9,11,0,21.2782,12,14,-69.72,11.0508
0.9,12,2,17.3362,12,14,-69.746,15.801
0.9,13,1,20,12,14,-69.9296,12.7356
0.9,14,0,19,12,14,-69.5284,14.7867
1,0,0,18,12,14,-69.9809,14.1123
1,1,2,17.7141,12,14,-69.9666,15.5181
1,2,0,18,12,14,-69.9298,14.8056
1,3,1,19,12,14,-69.921,14.3694
1,4,2,20,12,14,-69.7752,11.9264
1,5,0,17.9968,12,14,-69.5504,14.9977
1,6,0,17.4841,12,14,-69.8295,15.6895
1,7,2,20,12,14,-69.72,13.7355
1,8,2,21.3776,12,14,-69.8628,11.0001
1,9,1,20,12,14,-69.7903,12.6616
1,10,1,17.9582,12,14,-69.7668,15.0877
1,11,0,21.2782,12,14,-69.7137,11.0494
1,12,2,17.3362,12,14,-69.7424,15.7996
1,13,1,20,12,14,-69.9243,12.7342
1,14,0,19,12,14,-69.5255,14.7804
1.1,0,0,18,18,14,-69.9768,14.1099
1.1,1,2,17.7141,18,14,-69.9627,15.5167
1.1,2,0,18,18,14,-69.9263,14.7993
1.1,3,1,19,18,14,-69.9178,14.3631
1.1,4,2,20,18,14,-69.7696,11.9251
1.1,5,0,17.9968,18,14,-69.5471,14.9963
1.1,6,0,17.4841,18,14,-69.8254,15.6881
1.1,7,2,20,18,14,-69.7177,13.7292
1.1,8,2,22.33,18,14,-71.7671,13.8341
1.1,9,1,20,18,14,-69.7878,12.6553
1.1,10,1,17.9582,18,14,-69.7629,15.0864
1.1,11,0,22.1891,18,14,-71.6021,13.8574
1.1,12,2,17.3362,18,14,-69.7387,15.7983
1.1,13,1,20,18,14,-69.919,12.7329
1.1,14,0,19,18,14,-69.5227,14.7741
1.2,0,0,18,18,14,-69.9726,14.1075
1.2,1,2,17.7141,18,14,-69.9587,15.5153
1.2,2,0,18,18,14,-69.9227,14.7929
1.2,3,1,19,18,14,-69.9146,14.3567
1.2,4,2,20,18,14,-69.764,11.9236
1.2,5,0,17.9968,18,14,-69.5436,14.9949
1.2,6,0,17.4841,18,14,-69.8214,15.6867
1.2,7,2,20,18,14,-69.7154,13.7228
1.2,8,2,22.33,18,14,-71.7518,13.8158
1.2,9,1,20,18,14,-69.7852,12.649
1.2,10,1,17.9582,18,14,-69.759,15.0849
1.2,11,0,22.1891,18,14,-71.5838,13.8421
1.2,12,2,17.3362,18,14,-69.735,15.7968
1.2,13,1,20,18,14,-69.9136,12.7314
1.2,14,0,19,18,14,-69.5197,14.7678
1.3,0,0,18,18,14,-69.9683,14.105
1.3,1,2,17.7141,18,14,-69.9546,15.5138
1.3,2,0,18,18,14,-69.9191,14.7865
1.3,3,1,19,18,14,-69.9114,14.3503
1.3,4,2,20,18,14,-69.7583,11.9221
1.3,5,0,17.9968,18,14,-69.5402,14.9934
1.3,6,0,17.4841,18,14,-69.8173,15.6852
1.3,7,2,20,18,14,-69.713,13.7164
1.3,8,2,22.33,18,14,-71.7364,13.7975
1.3,9,1,20,18,14,-69.7826,12.6426
1.3,10,1,17.9582,18,14,-69.755,15.0834
1.3,11,0,22.1891,18,14,-71.5653,13.8268
1.3,12,2,17.3362,18,14,-69.7312,15.7953
1.3,13,1,20,18,14,-69.9082,12.7299
1.3,14,0,19,18,14,-69.5168,14.7614
1.4,0,0,18,18,14,-69.964,14.1025
1.4,1,2,17.7141,18,14,-69.9505,15.5122
1.4,2,0,18,18,14,-69.9155,14.7801
1.4,3,1,19,18,14,-69.908,14.3439
1.4,4,2,20,18,14,-69.7525,11.9206
1.4,5,0,17.9968,18,14,-69.5366,14.9918
1.4,6,0,17.4841,18,14,-69.8131,15.6836
1.4,7,2,20,18,14,-69.7105,13.71
1.4,8,2,22.33,18,14,-71.7209,13.779
1.4,9,1,20,18,14,-69.7799,12.6361
1.4,10,1,17.9582,18,14,-69.751,15.0819
1.4,11,0,22.1891,18,14,-71.5468,13.8114
1.4,12,2,17.3362,18,14,-69.7274,15.7938
1.4,13,1,20,18,14,-69.9027,12.7284
1.4,14,0,19,18,14,-69.5137,14.7549
1.5,0,0,18,18,14,-69.9596,14.0998
