time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
0,0,14,15,4,none,0
0,1,13,15,4,none,0
0,2,12,15,4,none,0
0,3,11,15,4,none,0
0,4,10,15,4,none,0
0,5,9,15,4,none,0
0,6,8,15,4,none,0
0,7,7,15,4,none,0
0,8,6,15,4,none,0
0,9,5,15,4,none,0
0,10,4,15,4,none,0
0,11,3,15,4,none,0
0,12,2,15,4,none,0
0,13,1,15,4,none,0
0,14,0,15,4,none,0
8,0,14,15,5,none,0.4
8,1,13,15,7,none,0.694026
8,2,12,15,3,none,0.05792
8,3,11,15,3,none,0.0596032
8,4,10,15,5,none,0.386035
8,5,9,15,3,none,0.0596032
8,6,8,15,3,none,0.0562368
8,7,7,15,3,none,0.0562368
8,8,6,15,3,none,0.0781184
8,9,5,15,3,none,0.0612864
8,10,4,15,4,none,0.149531
8,11,3,15,7,none,0.699783
8,12,2,15,3,none,0.0562368
8,13,1,15,3,none,0.0562368
8,14,0,15,3,none,0.0781184
13,0,14,15,6,none,0.545367
13,1,13,15,7,none,0.752716
13,2,12,15,3,none,0.0671776
13,3,11,15,3,none,0.0671776
13,4,10,15,4,none,0.27306
13,5,9,15,3,none,0.0671776
13,6,8,15,3,none,0.0671776
13,7,7,15,3,none,0.0671776
13,8,6,15,3,none,0.0781184
13,9,5,15,3,none,0.0688608
13,10,4,15,3,none,0.0646528
13,11,3,15,7,none,0.776444
13,12,2,15,3,none,0.0697024
13,13,1,15,3,none,0.0697024
13,14,0,15,3,none,0.0848512
18,0,14,15,6,none,0.521214
18,1,13,15,6,none,0.574671
18,2,12,15,3,none,0.0671776
18,3,11,15,3,none,0.0671776
18,4,10,15,5,none,0.366354
18,5,9,15,3,none,0.0688608
18,6,8,15,3,none,0.0697024
18,7,7,15,3,none,0.0697024
18,8,6,15,3,none,0.0730688
18,9,5,15,4,none,0.230782
18,10,4,15,5,none,0.514549
18,11,3,15,7,none,0.759656
18,12,2,15,3,none,0.0671776
18,13,1,15,3,none,0.0671776
18,14,0,15,3,none,0.0671776
23,0,14,15,4,none,0.0394048
23,1,13,15,4,none,0.0394048
23,2,12,15,4,none,0.0697024
23,3,11,15,4,none,0.0697024
23,4,10,15,5,none,0.261018
23,5,9,15,4,none,0.0680192
23,6,8,15,4,none,0.0671776
23,7,7,15,4,none,0.0671776
23,8,6,15,4,none,0.0671776
23,9,5,15,4,none,0.0562368
23,10,4,15,4,none,0.0528704
23,11,3,15,5,none,0.234355
23,12,2,15,4,none,0.0671776
23,13,1,15,4,none,0.0671776
23,14,0,15,4,none,0.0671776
28,0,14,15,4,none,0.0596032
28,1,13,15,4,none,0.0596032
28,2,12,15,4,none,0.0562368
28,3,11,15,4,none,0.0562368
28,4,10,15,5,none,0.300083
28,5,9,15,4,none,0.0562368
28,6,8,15,4,none,0.0562368
28,7,7,15,4,none,0.0562368
28,8,6,15,4,none,0.0562368
28,9,5,15,4,none,0.0562368
28,10,4,15,4,none,0.0562368
28,11,3,15,5,none,0.275585
28,12,2,15,4,none,0.0596032
28,13,1,15,4,none,0.0646528
28,14,0,15,4,none,0.0596032
33,0,14,15,4,none,0.0562368
33,1,13,15,4,none,0.0562368
33,2,12,15,4,none,0.0562368
33,3,11,15,4,none,0.0562368
33,4,10,15,5,none,0.27306
33,5,9,15,4,none,0.0553952
33,6,8,15,4,none,0.0562368
33,7,7,15,4,none,0.0596032
33,8,6,15,4,none,0.0596032
33,9,5,15,4,none,0.0596032
33,10,4,15,4,none,0.0562368
33,11,3,15,5,none,0.27306
33,12,2,15,4,none,0.0562368
33,13,1,15,4,none,0.0570784
33,14,0,15,4,none,0.0562368
38,0,14,15,4,none,0.0596032
38,1,13,15,4,none,0.0596032
38,2,12,15,4,none,0.0596032
38,3,11,15,4,none,0.0596032
38,4,10,15,6,none,0.319286
38,5,9,15,4,none,0.0596032
38,6,8,15,4,none,0.0562368
38,7,7,15,4,none,0.0562368
38,8,6,15,4,none,0.0562368
38,9,5,15,4,none,0.0562368
38,10,4,15,4,none,0.0562368
38,11,3,15,5,none,0.27306
38,12,2,15,4,none,0.0562368
38,13,1,15,4,none,0.05792
38,14,0,15,4,none,0.0562368
43,0,14,15,4,none,0.0562368
43,1,13,15,4,none,0.0562368
43,2,12,15,4,none,0.0562368
43,3,11,15,4,none,0.0562368
43,4,10,15,6,none,0.46941
43,5,9,15,4,none,0.0562368
43,6,8,15,4,none,0.0562368
43,7,7,15,4,none,0.0562368
43,8,6,15,4,none,0.0562368
43,9,5,15,4,none,0.0562368
43,10,4,15,4,none,0.0587616
43,11,3,15,5,none,0.275585
43,12,2,15,4,none,0.0596032
43,13,1,15,4,none,0.0604448
43,14,0,15,4,none,0.0596032
48,0,14,15,4,none,0.0562368
48,1,13,15,4,none,0.0570784
