time,num_links,connectivity
0.1,57,0.542857
0.2,57,0.542857
0.3,57,0.542857
0.4,57,0.542857
0.5,57,0.542857
0.6,57,0.542857
0.7,57,0.542857
0.8,57,0.542857
0.9,57,0.542857
1,57,0.542857
1.1,57,0.542857
1.2,57,0.542857
1.3,57,0.542857
1.4,57,0.542857
1.5,57,0.542857
1.6,57,0.542857
1.7,57,0.542857
1.8,57,0.542857
1.9,57,0.542857
2,57,0.542857
2.1,57,0.542857
2.2,57,0.542857
2.3,57,0.542857
2.4,57,0.542857
2.5,57,0.542857
2.6,57,0.542857
2.7,57,0.542857
2.8,57,0.542857
2.9,57,0.542857
3,57,0.542857
3.1,57,0.542857
3.2,57,0.542857
3.3,57,0.542857
3.4,57,0.542857
3.5,57,0.542857
3.6,57,0.542857
3.7,57,0.542857
3.8,57,0.542857
3.9,57,0.542857
4,57,0.542857
4.1,57,0.542857
4.2,57,0.542857
4.3,57,0.542857
4.4,57,0.542857
4.5,57,0.542857
4.6,57,0.542857
4.7,57,0.542857
4.8,57,0.542857
4.9,57,0.542857
5,57,0.542857
5.1,57,0.542857
5.2,57,0.542857
5.3,57,0.542857
5.4,57,0.542857
5.5,57,0.542857
5.6,57,0.542857
5.7,57,0.542857
5.8,57,0.542857
5.9,57,0.542857
6,57,0.542857
6.1,57,0.542857
6.2,57,0.542857
6.3,57,0.542857
6.4,57,0.542857
6.5,57,0.542857
6.6,57,0.542857
6.7,57,0.542857
6.8,57,0.542857
6.9,57,0.542857
7,57,0.542857
7.1,57,0.542857
7.2,57,0.542857
7.3,57,0.542857
7.4,57,0.542857
7.5,57,0.542857
7.6,57,0.542857
7.7,57,0.542857
7.8,57,0.542857
7.9,57,0.542857
8,57,0.542857
8.1,57,0.542857
8.2,57,0.542857
8.3,57,0.542857
8.4,57,0.542857
8.5,57,0.542857
8.6,57,0.542857
8.7,57,0.542857
8.8,57,0.542857
8.9,57,0.542857
9,57,0.542857
9.1,57,0.542857
9.2,57,0.542857
