time_s,nodeId,x,y,z
12,1,3.671,1.67605,21.4505
12,2,2.279,-0.377,8
12,3,3.698,-0.499,8.2
12,4,1.197,0.233,3.63
12,5,6.969,-0.677,17.66
12,6,5.799,0.499,10.58
12,7,6.952,0.033,6.37
12,8,7.954,0.078,9.91
12,9,-1.03936,0.982779,6.31263
12,10,-0.044,1.03659,6.32458
12,11,3.57178,3.57982,34.7415
12,12,1.906,1.065,6.28
12,13,2.483,0.622,6.4
12,14,-1.037,0.00660954,6.293
13,0,-0.008559,0.011,6.33902
13,1,2.58461,1.02903,21.446
13,2,2.279,-0.377,8
13,3,3.698,-0.499,8.2
13,4,1.197,0.233,3.63
13,5,6.969,-0.677,17.66
13,6,5.799,0.499,10.58
13,7,6.952,0.033,6.37
13,8,7.954,0.078,9.91
13,9,-1.03643,0.977777,6.31
13,10,-0.044,1.02925,6.34124
13,11,3.56912,3.56849,34.7449
13,12,1.906,1.065,6.28
13,13,2.483,0.622,6.4
13,14,-1.037,0.0139453,6.29634
14,0,-0.005559,0.011,6.33235
14,1,1.49056,0.377506,21.442
14,2,2.279,-0.377,8
14,3,3.698,-0.499,8.2
14,4,1.197,0.233,3.63
14,5,6.969,-0.677,17.66
14,6,5.799,0.499,10.58
14,7,6.952,0.033,6.37
14,8,7.954,0.078,9.91
14,9,-1.03377,0.981444,6.31
14,10,-0.044,1.02192,6.3579
14,11,3.56645,3.55716,34.7482
14,12,1.906,1.065,6.28
14,13,2.483,0.622,6.4
14,14,-1.037,0.0212811,6.29967
15,0,-0.002559,0.011,6.32569
15,1,0.955702,0.0640671,21.4045
15,2,2.279,-0.377,8
15,3,3.698,-0.499,8.2
15,4,1.197,0.233,3.63
15,5,6.969,-0.677,17.66
15,6,5.799,0.499,10.58
15,7,6.952,0.033,6.37
15,8,7.954,0.078,9.91
15,9,-1.0311,0.985111,6.31
15,10,-0.0390473,1.0178,6.36
15,11,3.56758,3.551,34.7318
15,12,1.906,1.065,6.28
15,13,2.483,0.622,6.4
15,14,-1.03459,0.0186927,6.29098
16,0,0,0.011539,6.31853
16,1,0.964731,0.0771789,20.2259
16,2,2.279,-0.377,8
16,3,3.698,-0.499,8.2
16,4,1.197,0.233,3.63
16,5,6.969,-0.677,17.66
16,6,5.799,0.499,10.58
16,7,6.952,0.033,6.37
16,8,7.954,0.078,9.91
16,9,-1.029,0.988,6.30788
16,10,-0.0333807,1.01413,6.36
16,11,3.57325,3.551,34.6918
16,12,1.906,1.065,6.28
16,13,2.483,0.622,6.4
16,14,-1.03193,0.015026,6.28098
17,0,0,0.0152057,6.30853
17,1,0.959066,0.0735135,15.2076
17,2,2.279,-0.377,8
17,3,3.698,-0.499,8.2
17,4,1.197,0.233,3.63
17,5,6.969,-0.677,17.66
17,6,5.799,0.499,10.58
17,7,6.952,0.033,6.37
17,8,7.954,0.078,9.91
17,9,-1.029,0.988,6.29788
17,10,-0.027714,1.01046,6.36
17,11,3.57892,3.551,34.6518
17,12,1.906,1.065,6.28
17,13,2.483,0.622,6.4
17,14,-1.02926,0.0113593,6.27098
18,0,0,0.0188723,6.29853
18,1,0.953402,0.0698481,10.1892
18,2,2.279,-0.377,8
18,3,3.698,-0.499,8.2
18,4,1.197,0.233,3.63
18,5,6.969,-0.677,17.66
18,6,5.799,0.499,10.58
18,7,6.952,0.033,6.37
18,8,7.954,0.078,9.91
18,9,-1.029,0.988,6.28788
18,10,-0.027,1.01,6.36291
18,11,3.35169,3.33247,34.5971
18,12,1.906,1.065,6.28
18,13,2.483,0.622,6.4
18,14,-1.03141,0.011,6.27601
19,0,0.000441,0.020922,6.29
19,1,0.949669,0.0678177,6.29074
19,2,2.279,-0.377,8
19,3,3.698,-0.499,8.2
19,4,1.197,0.233,3.63
19,5,6.969,-0.677,17.66
19,6,5.799,0.499,10.58
19,7,6.952,0.033,6.37
19,8,7.954,0.078,9.91
19,9,-1.029,0.987223,6.28071
19,10,-0.027,1.01,6.36625
19,11,2.45903,2.48547,34.5471
19,12,1.906,1.065,6.28
19,13,2.483,0.622,6.4
19,14,-1.03407,0.011,6.28268
20,0,0.003441,0.0135887,6.29
20,1,0.952669,0.0714843,6.29408
20,2,2.279,-0.377,8
20,3,3.698,-0.499,8.2
20,4,1.197,0.233,3.63
20,5,6.969,-0.677,17.66
20,6,5.799,0.499,10.58
20,7,6.952,0.033,6.37
20,8,7.954,0.078,9.91
20,9,-1.029,0.983556,6.28404
20,10,-0.027,1.01,6.36958
20,11,1.56636,1.63847,34.4971
20,12,1.906,1.065,6.28
20,13,2.483,0.622,6.4
20,14,-1.03674,0.011,6.28935
21,0,0.006441,0.00625533,6.29
21,1,0.955669,0.075151,6.29741
21,2,2.279,-0.377,8
21,3,3.698,-0.499,8.2
21,4,1.197,0.233,3.63
21,5,6.969,-0.677,17.66
21,6,5.799,0.499,10.58
21,7,6.952,0.033,6.37
21,8,7.954,0.078,9.91
21,9,-1.029,0.979889,6.28737
21,10,-0.027,1.01,6.36709
21,11,0.904774,1.01,32.0357
21,12,1.906,1.065,6.28
21,13,2.483,0.622,6.4
21,14,-1.03459,0.0143073,6.29
22,0,0.00811771,0,6.29
22,1,0.958,0.0771823,6.29851
22,2,2.279,-0.377,8
22,3,3.698,-0.499,8.2
22,4,1.197,0.233,3.63
22,5,6.969,-0.677,17.66
22,6,5.799,0.499,10.58
22,7,6.952,0.033,6.37
22,8,7.954,0.078,9.91
22,9,-1.02957,0.977,6.29
22,10,-0.027,1.01,6.36375
22,11,0.907774,1.01,22.639
22,12,1.906,1.065,6.28
22,13,2.483,0.622,6.4
22,14,-1.03193,0.017974,6.29
23,0,0.00211571,0,6.29
23,1,0.958,0.0735157,6.29185
23,2,2.25025,-0.34291,7.98866
23,3,3.698,-0.499,8.2
23,4,1.197,0.233,3.63
23,5,6.969,-0.677,17.66
23,6,5.799,0.499,10.58
23,7,6.952,0.033,6.37
23,8,7.954,0.078,9.91
23,9,-1.03223,0.977,6.29
23,10,-0.027,1.01,6.36042
23,11,0.910774,1.01,13.2423
23,12,1.906,1.065,6.28
23,13,2.483,0.622,6.4
23,14,-1.02926,0.0216407,6.29
24,0,-0.0038863,0,6.29
24,1,0.958,0.069849,6.28518
24,2,2.13196,-0.202624,7.94201
24,3,3.698,-0.499,8.2
24,4,1.197,0.233,3.63
24,5,6.969,-0.677,17.66
24,6,5.799,0.499,10.58
24,7,6.952,0.033,6.37
24,8,7.954,0.078,9.91
24,9,-1.0349,0.977,6.29
24,10,-0.027,1.0132,6.35709
24,11,0.912226,1.01,6.27172
24,12,1.906,1.065,6.28
24,13,2.483,0.622,6.4
24,14,-1.03141,0.022,6.28699
25,0,-0.008556,0,6.29049
25,1,0.958,0.067,6.28074
25,2,2.01367,-0.0623372,7.89536
25,3,3.68595,-0.492688,8.17131
25,4,1.197,0.233,3.63
25,5,6.969,-0.677,17.66
25,6,5.799,0.499,10.58
25,7,6.952,0.033,6.37
25,8,7.954,0.078,9.91
25,9,-1.03643,0.977,6.29
25,10,-0.027,1.01687,6.35375
25,11,0.909226,1.01,6.27839
25,12,1.906,1.065,6.28
25,13,2.483,0.622,6.4
25,14,-1.03407,0.022,6.28366
26,0,-0.005556,0,6.29383
26,1,0.958,0.067,6.28408
26,2,1.924,0.044,7.73013
26,3,3.66496,-0.481692,8.12133
26,4,1.197,0.233,3.63
26,5,6.969,-0.677,17.66
26,6,5.799,0.499,10.58
26,7,6.952,0.033,6.37
26,8,7.954,0.078,9.91
26,9,-1.03377,0.977,6.29
26,10,-0.027,1.02054,6.35042
26,11,0.906226,1.01,6.28505
26,12,1.906,1.065,6.28
26,13,2.483,0.622,6.4
26,14,-1.03674,0.022,6.28033
27,0,-0.002556,0,6.29716
27,1,0.958,0.067,6.28741
27,2,1.924,0.044,7.19346
27,3,3.64396,-0.470695,8.07134
27,4,1.197,0.233,3.63
27,5,6.969,-0.677,17.66
27,6,5.799,0.499,10.58
27,7,6.952,0.033,6.37
27,8,7.954,0.078,9.91
27,9,-1.0311,0.977,6.29
27,10,-0.027,1.021,6.35
27,11,0.904,1.01,6.28914
27,12,1.906,1.065,6.28
27,13,2.62018,0.745557,6.26994
27,14,-1.037,0.022,6.28
28,0,0.000444,0.000542667,6.29951
28,1,0.958,0.066108,6.29
28,2,1.924,0.044,6.65679
28,3,3.47054,-0.337155,7.9857
28,4,1.197,0.233,3.63
28,5,6.969,-0.677,17.66
28,6,5.799,0.499,10.58
28,7,6.952,0.033,6.37
28,8,7.954,0.078,9.91
28,9,-1.02957,0.976219,6.28929
28,10,-0.027,1.021,6.35
28,11,0.904,1.01,6.28581
28,12,1.906,1.065,6.28
28,13,2.76785,0.878557,6.12994
28,14,-1.037,0.022,6.28
29,0,0.003444,0.00420933,6.29617
29,1,0.958,0.062108,6.29
29,2,1.924,0.044,6.25242
29,3,3.18353,-0.112296,7.87349
29,4,1.197,0.233,3.63
29,5,6.969,-0.677,17.66
29,6,5.799,0.499,10.58
29,7,6.952,0.033,6.37
29,8,7.954,0.078,9.91
29,9,-1.03223,0.972552,6.28596
29,10,-0.027,1.021,6.35
29,11,0.904,1.01,6.28247
29,12,1.906,1.065,6.28
29,13,2.91552,1.01156,5.98994
29,14,-1.037,0.022,6.28
30,0,0.006444,0.007876,6.29284
30,1,0.958,0.058108,6.29
30,2,1.924,0.044,6.26242
30,3,2.97,0.054062,7.6655
30,4,1.197,0.233,3.63
30,5,6.969,-0.677,17.66
30,6,5.799,0.499,10.58
30,7,6.952,0.033,6.37
30,8,7.954,0.078,9.91
30,9,-1.0349,0.968886,6.28262
30,10,-0.027,1.01779,6.35
30,11,0.904,1.01095,6.28086
30,12,1.906,1.065,6.28
30,13,2.92879,1.021,6.02335
30,14,-1.03459,0.022,6.28
31,0,0.008556,0.0115427,6.28951
31,1,0.957331,0.055,6.29
31,2,1.924,0.044,6.27243
31,3,2.97,0.0503977,7.17915
31,4,1.197,0.233,3.63
31,5,6.969,-0.677,17.66
31,6,5.799,0.499,10.58
31,7,6.952,0.033,6.37
31,8,7.954,0.078,9.91
